ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
574,1,中華民國刑法第二百三十一條之二及第二百三十五條條文修正草案,2020/4/24,2020/5/20,委員會審竣,0,1,1,0,呂玉玲,,,,,,,,,,,,,,,,,,,,,謝衣鳯,廖婉汝,李貴敏,林為洲,李德維,孔文吉,鄭天財,張育美,吳斯懷,鄭正鈐,費鴻泰,林思銘,翁重鈞,陳雪生,吳怡玎,魯明哲,萬美玲,林奕華,曾銘宗,蔣萬安,游毓蘭,鄭麗文,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中華民國刑法第二百三十一條之二及第二百三十五條條文修正草案,本院委員呂玉玲等 23 人，有鑑於日前韓國發生駭人聽聞「N號房」事件，引起社會譁然，此案件對被害者產生難以抹滅之傷害，影響其日常生活、人際關係與身心狀態，並侵害其人身自由及性自主權，又因網路世界無遠弗屆，犯罪受害影像上傳至網路便難以完全移除。我國雖已有兒童及少年性剝削防治條列足以適用以保護未成年兒少，然刑法卻未有同等罪刑對於加害人強行拍攝裸露影像、散布及其他促發犯罪等行為之處罰。爰提案新增「中華民國刑法第二百三十一條之二及第二百三十五條條文修正草案」。是否有當？敬請公決。 
746,1,家庭教育法第十三條、第十四條及第十五條條文修正草案,2020/5/8,2020/5/12,交付審查,0,0,0,0,呂玉玲,張育美,,,,,,,,,,,,,,,,,,,,李貴敏,溫玉霞,廖國棟,孔文吉,江啟臣,洪孟楷,林文瑞,游毓蘭,曾銘宗,許淑華,徐志榮,林德福,萬美玲,陳雪生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家庭教育法第十三條、第十四條及第十五條條文修正草案,本院委員呂玉玲、張育美等 16 人，鑑於我國家暴案件頻傳，不僅造成社會不安，對於兒少未來身心發展亦有影響，除了嚴法嚇阻，家庭教育的重要性也不言可喻。如能從學齡的孩子中早期獲得家暴資訊，進而對踩紅線的家庭發出預防作為訊息，使家長或家庭成員知道政府對保護兒少的決心而有所警惕，並預防性的輔以家庭教育諮商或輔導服務，消弭家暴於無形。爰擬具「家庭教育法第十三、第十四及第十五條」條文修正草案，強化家庭教育與家暴防治課程的規範。是否有當？敬請公決。
748,1,中華民國刑法增訂第二百八十六條之一條文草案,2020/5/8,2020/5/12,交付審查,0,0,0,0,魯明哲,呂玉玲,張育美,廖婉汝,高金素梅,洪孟楷,,,,,,,,,,,,,,,,孔文吉,李貴敏,廖國棟,費鴻泰,楊瓊瓔,馬文君,游毓蘭,陳雪生,鄭麗文,許淑華,林奕華,徐志榮,吳斯懷,曾銘宗,李德維,萬美玲,陳以信,翁重鈞,林文瑞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中華民國刑法增訂第二百八十六條之一條文草案,本院委員魯明哲、呂玉玲、張育美、廖婉汝、高金素梅、洪孟楷等 25 人，鑒於近年來我國兒少受虐案件頻傳，雖立法機關為切合民意所向，並健全兒少之身心發展，已於中華民國108 年修正妨害幼童自然發育罪之刑度，惟刑之論處應據法益受損程度而訂，即參酌兒少於不同生命階段，因受凌虐所肇之身心傷害及其自救能力兩者加以論斷。目前刑法針對虐童之規範係訂於第二百八十六條，然該條文僅以未滿十八歲之人加以蓋括，而無上述之細部考量，爰擬具「中華民國刑法增訂第二百八十六條之一條文草案」，對六歲以下之人，犯刑法第二百八十六條之罪者，加重其刑至二分之一。是否有當？敬請公決。
761,1,兒童及少年性剝削防制條例部分條文修正草案,2020/5/8,2023/1/10,三讀,1,1,1,0,蔣萬安,張育美,楊瓊瓔,呂玉玲,游毓蘭,,,,,,,,,,,,,,,,,林奕華,孔文吉,鄭正鈐,翁重鈞,陳玉珍,陳雪生,曾銘宗,李德維,林為洲,李貴敏,廖國棟,溫玉霞,吳怡玎,吳斯懷,魯明哲,鄭天財,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兒童及少年性剝削防制條例部分條文修正草案,本院委員蔣萬安、張育美、楊瓊瓔、呂玉玲、葉毓蘭等 21 人，有鑑於《兒童及少年性剝削防制條例》自 2017 年上路以來，被害兒少人數仍不斷增加，根據法務部近 10 年統計資料顯示，兒少性剝削案件年增率為 4.4%。近來南韓發生的 N 號房事件，讓兒少權益更加受到關注。惟現行《兒童及少年性剝削防制條例》對於製造、散布兒少性剝削影像的行為處罰過輕，對持有、觀覽兒少性剝削影像者僅處以罰鍰及輔導教育，難收嚇阻、保護兒少之效，顯有修正必要。爰此，擬具「兒童及少年性剝削防制條例部分條文修正草案」，俾保護兒少權益，使其免受性剝削之危害。是否有當？敬請公決。
986,1,中華民國刑法增訂第二百八十六條之一條文草案,2020/5/29,2020/5/29,交付審查,0,0,0,0,楊瓊瓔,,,,,,,,,,,,,,,,,,,,,翁重鈞,廖國棟,呂玉玲,謝衣鳯,徐志榮,鄭天財,張育美,陳超明,孔文吉,陳玉珍,曾銘宗,萬美玲,林文瑞,鄭正鈐,洪孟楷,李德維,溫玉霞,羅明才,陳以信,吳怡玎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中華民國刑法增訂第二百八十六條之一條文草案,本院委員楊瓊瓔等 21 人，鑒於近年來我國兒少受虐案件日益攀升，尤其未滿六歲之幼童較無自我保護及求救能力，易遭凌虐甚或因而致死，且施虐者多屬與兒少具特定關係的照顧保護之人。另觀諸對兒少施以非人道之凌虐行為，其手段較傷害行為之方式更為殘忍與嚴重，易會產生加重結果之情形。爰增訂「中華民國刑法」第二百八十六條之一條文，針對凌虐未滿六歲幼童者，以及凌虐未滿十六歲兒少且負有教養、監督、扶助、保護、照顧等義務之人，增列加重處罰之規定，以擴大保障兒少之生命與身心健康。是否有當？敬請公決。 
1026,2,兒童及少年福利與權益保障法第八十三條條文修正草案,2020/9/18,2020/9/18,交付審查,0,0,0,1,高虹安,邱臣遠,蔡壁如,賴香伶,張其祿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兒童及少年福利與權益保障法第八十三條條文修正草案,本院民眾黨黨團，有鑑於蔡政府在 109 年 8 月底宣布將以「行政命令」開放含瘦肉精的美豬美牛一事，為保障兒童及少年食用健康、並避免未滿 18 歲之兒童及少年，在兒童及少年福利機構或兒童課後照顧服務班及中心，食用含乙型受體素（萊克多巴胺）之食材，對於處於發育期間兒童及少年產生長期影響。爰擬具「兒童及少年福利與權益保障法第八十三條條文」修正草案，明定兒少機構或課後照顧班禁止使用含乙型受體素之食材，以保障兒少健康。是否有當？敬請公決。 
1037,2,兒童及少年性剝削防制條例第三十九條、第四十四條及第五十一條條文修正草案,2020/9/18,2023/1/10,三讀,1,1,1,0,洪孟楷,游毓蘭,,,,,,,,,,,,,,,,,,,,吳斯懷,徐志榮,江啟臣,吳怡玎,鄭麗文,林文瑞,陳玉珍,溫玉霞,林為洲,翁重鈞,李德維,鄭天財,廖婉汝,林奕華,魯明哲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兒童及少年性剝削防制條例第三十九條、第四十四條及第五十一條條文修正草案,本院委員洪孟楷、葉毓蘭等 17 人，因法務部近 10 年統計資料顯示，兒少性剝削案件年增率達 4.4%之多，復以衛生福利部兒童及少年性剝削通報被害人統計連兩年破千人以上，有鑑以科技通訊促成之兒少性剝削案件愈發嚴重，將對兒少身心產生持續性危害。然而就現行有關持有及付費觀覽兒少性剝削影像之行為處罰實在過輕，難以落實嚇阻。爰此，特擬具「兒童及少年性剝削防制條例第三十九條、第四十四條及第五十一條條文修正草案」，針對無正當理由持有兒少色情影音者、付費觀覽者之犯行訂定課以刑罰，以避免當前僅以行政罰之防治不足，藉此補足保護兒少身心健全發展之法制規範。是否有當？敬請公決。
1118,2,兒童及少年福利與權益保障法增訂第二十三條之二條文草案,2020/9/25,2020/12/21,委員會審竣,0,1,1,0,洪孟楷,吳斯懷,鄭正鈐,,,,,,,,,,,,,,,,,,,曾銘宗,孔文吉,李德維,溫玉霞,陳雪生,林文瑞,林德福,蔣萬安,魯明哲,張育美,陳玉珍,廖婉汝,游毓蘭,鄭天財,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兒童及少年福利與權益保障法增訂第二十三條之二條文草案,本院委員洪孟楷、吳斯懷、鄭正鈐等 17 人，為改善當前失蹤兒少及青年之業務辦理，於法制作業之完善尚有所不足，特提出「兒童及少年福利與權益保障法增訂第二十三條之二條文草案」，增訂中央主管機關應與各目的事業主管建立資料管理、心理適應、社會支持、社會資源轉介及其他必要之相關服務等，於委託民間團體合作辦理之法源依據。是否有當？敬請公決。
1163,2,兒童及少年福利與權益保障法第八十三條條文修正草案,2020/10/6,2020/10/6,交付審查,0,0,0,0,謝衣鳯,,,,,,,,,,,,,,,,,,,,,賴士葆,徐志榮,鄭正鈐,江啟臣,洪孟楷,吳斯懷,魯明哲,陳玉珍,游毓蘭,費鴻泰,吳怡玎,廖婉汝,鄭麗文,曾銘宗,林思銘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兒童及少年福利與權益保障法第八十三條條文修正草案,本院委員謝衣鳯等 16 人，對於教育部僅以函告學校，不得使用含乙型受體素（萊克多巴胺）之食材，但托嬰中心、早期療育機構、安置及教養機構及兒童課後照顧服務班及中心並不確定是否一體適用，為避免兒童及少年食用含瘦肉精與基因改造之食材及其初級加工品，爰擬具「兒童及少年福利與權益保障法第八十三條條文」修正草案，明確禁止托嬰中心、早期療育機構、安置及教養機構及兒童課後照顧服務班及中心使用含瘦肉精與基因改造之食材及其初級加工品，以保障兒少健康。是否有當？敬請公決。 
1204,2,兒童及少年福利與權益保障法增訂第七條之一條文草案,2020/10/6,2020/12/21,委員會審竣,0,1,1,0,蔣萬安,李德維,呂玉玲,張育美,,,,,,,,,,,,,,,,,,林為洲,廖婉汝,鄭麗文,鄭天財,魯明哲,陳玉珍,游毓蘭,鄭正鈐,謝衣鳯,馬文君,林文瑞,吳怡玎,溫玉霞,洪孟楷,吳斯懷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,兒童及少年福利與權益保障法增訂第七條之一條文草案,本院委員蔣萬安、李德維、呂玉玲、張育美等 19 人，有鑑於兒少網路誘拐失蹤案件頻傳，據內政部警政署失蹤人口概況統計，近三年未滿 18 歲失蹤兒少人數，每年平均約有四千餘人。然我國現行「失蹤兒童少年資料管理中心」僅為民間團體發起，欠缺法源依據，導致服務量能亦受到限制；協尋兒少業務涉及警政、社政、教育等單位執掌，需跨部門之合作，現行協尋兒少機制運作常遇阻礙，需法制化俾使協尋工作順利推展。爰提案新增「兒童及少年福利與權益保障法」第七條之一，增訂成立兒童及少年失蹤防治機構，以建立我國失蹤、離家兒少之預防、處遇與後續追蹤輔導相關服務機制，且為兼顧提供兒少服務之近便性，亦課予地方政府提供受轉介兒少相關必要服務之義務，以強化我國兒少人身安全之保障。是否有當？敬請公決。 
