ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
4,1,提高薪資執行特別條例草案,2020/2/21,2020/2/25,交付審查,0,0,0,0,曾銘宗,費鴻泰  ,,,,,,,,,,,,,,,,,,,,賴士葆  ,吳斯懷  ,吳怡玎  ,鄭麗文  ,陳玉珍  ,游毓蘭  ,林奕華 ,馬文君  ,廖婉汝  ,鄭正鈐 ,謝衣鳯,陳雪生  ,溫玉霞  ,李德維  ,萬美玲 ,鄭天財,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"薪資, 提高薪資",本院委員曾銘宗、費鴻泰等 18 人，鑒於我國低薪狀況日益嚴重，薪資水準停滯不前甚至倒退數十年，造成人民生活困窘、社會氣氛不安、人才外流嚴重、我國競爭力更是逐年下降。行政院主計總處公布 107 年工業及服務業受僱員工全年總薪資中位數為49萬元、第1十分位數為27.9萬元；依107年平均受僱員工人數787.7 萬人計算，即約有 393.9 萬人年薪領不到49萬元、78.8萬人全年總薪資低於27.9萬元。為提升整體薪資以改善員工生活品質，確保勞工生活水準及尊嚴，創造青年友善就業環境並維持安全穩定的經濟社會，爰提出「提高薪資執行特別條例」草案。是否有當？敬請公決。 
13,1,嚴重特殊傳染性肺炎防治及紓困振興特別條例草案,2020/2/21,2020/2/25,三讀,1,1,1,0,賴瑞隆,蘇震清,,,,,,,,,,,,,,,,,,,,蔡易餘,賴品妤,林楚茵,林俊憲,周春米,陳素月,羅致政,洪申翰,趙天麟,吳思瑤,林淑芬,邱志偉,沈發惠,高嘉瑜,趙正宇,羅美玲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"嚴重特殊傳染性肺炎, 嚴重特殊傳染性肺炎防治, 紓困, 振興, 防治",本院委員賴瑞隆、蘇震清等 18 人，鑒於嚴重特殊傳染性肺炎疫情日趨嚴峻，我國無論醫療防疫工作或社會經濟層面均受重大衝擊。為期政府與民間各界於防疫期間有效落實各項防疫作為、充足防疫資源，並對受疫情影響之醫事機構、產業、勞工與民眾提供積極性補助、紓困及振興措施。爰擬具「嚴重特殊傳染性肺炎防治及紓困振興特別條例」草案。是否有當？敬請公決。
25,1,勞動基準法第十三條之一、第四十二條及第七十七條條文修正草案,2020/3/3,2020/3/3,交付審查,0,0,0,0,蘇巧慧,吳秉叡,張宏陸,何志偉,伍麗華,林宜瑾,,,,,,,,,,,,,,,,黃國書,何欣純,鍾佳濱,邱議瑩,賴惠員,余天,周春米,吳思瑤,林楚茵,王美惠,王定宇,沈發惠,湯蕙禎,范雲,吳玉琴,陳素月,洪申翰 ,賴品妤,賴瑞隆,許智傑,江永昌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"勞動基準, 勞動, 基準",本院委員蘇巧慧、吳秉叡、張宏陸、何志偉、伍麗華、林宜瑾等 27 人，鑒於勞工若因依傳染病防治法，受有遷入指定處所或管制區域之命令，以接受檢疫、防疫或治療等隔離管制措施而致其難以提供勞務，影響勞動契約之履行，恐將影響其勞動身分之存續與雇主營運；基於保障勞工權益，並鼓勵勞工對於履行防疫相關措施及徵調作業之社會責任與公益表現，爰擬具「勞動基準法第十三條之一、第四十二條及第七十七條條文修正草案」。是否有當？敬請公決。
27,1,勞工保險條例第五十八條條文修正草案,2020/3/3,2020/3/3,交付審查,0,0,0,0,羅致政,,,,,,,,,,,,,,,,,,,,,余天,何欣純,邱志偉,湯蕙禎,王美惠,黃國書,吳玉琴,邱泰源,陳歐珀,劉櫂豪,趙天麟,蔡易餘,陳明文,莊瑞雄,蔡適應,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"勞工保險, 勞工, 保險",本院委員羅致政等 16 人，鑒於身心障礙者因提早老化，工作年資普遍較短，無法和一般勞工一體適用相同的退休年齡，其亦與身心障礙者權益保障法中明訂身心障礙勞工須有提早退休機制不符，爰提出「勞工保險條例第五十八條」條文修正草案。是否有當？敬請公決。
37,1,性別工作平等法第十五條條文修正草案,2020/3/3,2021/12/28,三讀,1,1,1,0,費鴻泰,陳玉珍,萬美玲,,,,,,,,,,,,,,,,,,,孔文吉 ,陳雪生 ,廖國棟 ,楊瓊瓔,林文瑞 ,曾銘宗 ,魯明哲 ,林思銘,陳超明 ,鄭正鈐 ,李德維 ,洪孟楷 ,李貴敏 ,張育美 ,溫玉霞 ,林奕華 ,林德福,吳斯懷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"性別工作平等, 性別, 工作, 平等, 工作平等",本院委員費鴻泰、陳玉珍、萬美玲等 21 人，為鼓勵勞工婦女生產，解決少子化問題，爰提案修正「性別工作平等法第十五條」，將現行女性受雇者分娩前後產假由八星期改為十星期，友善婦女生育環境。是否有當？敬請公決。
39,1,勞工保險條例第五十八條條文修正草案,2020/3/3,2020/3/3,交付審查,0,0,0,0,費鴻泰,楊瓊瓔 ,陳超明,江啟臣,,,,,,,,,,,,,,,,,,萬美玲 ,曾銘宗,李德維,廖國棟,陳雪生,孔文吉,林奕華,林文瑞,鄭正鈐,李貴敏,林思銘,魯明哲,洪孟楷,陳玉珍,張育美,廖婉汝,陳以信,徐志榮,鄭麗文,游毓蘭,溫玉霞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"勞工保險, 勞工, 保險",本院委員費鴻泰、楊瓊瓔、陳超明、江啟臣等 25 人，有鑑於身心障礙者老化年齡較早，容易因為身心功能的退化，必須提早退出職場，導致其退休生活難以獲得勞工保險老年給付之保障。爰提案修正「勞工保險條例第五十八條」，新增身心障礙者年滿五十五歲，保險年資符合規定者，即得請領老年給付。是否有當？敬請公決。
76,1,勞工保險條例第六十二條及第六十三條之二條文修正草案,2020/3/3,2020/3/3,交付審查,0,0,0,0,蔡易餘,蘇治芬,黃國書,何志偉,,,,,,,,,,,,,,,,,,羅致政,趙正宇,邱志偉,賴惠員,郭國文,陳素月,羅美玲,余天,陳瑩,黃世杰,賴品妤,林楚茵,江永昌,王美惠,吳玉琴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"勞工保險, 勞工, 保險",本院委員蔡易餘、蘇治芬、黃國書、何志偉等 19 人，有鑑於現行社會型態改變國人普遍晚婚，導致被保險人死亡後，其遺屬可能已領有其他社會保險之年金，造成無法領取遺屬年金，也無法取得十個月的喪葬津貼，爰修正「勞工保險條例第六十二條及第六十三條之二條文修正草案」。是否有當？敬請公決。 
77,1,就業服務法第五十二條條文修正草案,2020/3/3,2020/3/3,交付審查,0,0,0,0,蔡易餘,蘇治芬,黃國書,何志偉,,,,,,,,,,,,,,,,,,賴惠員,郭國文,羅致政,陳素月,陳瑩,江永昌,趙正宇,羅美玲,黃世杰,王美惠,邱志偉,余天,賴品妤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"就業服務, 就業, 服務",本院委員蔡易餘、蘇治芬、黃國書、何志偉等 17 人，有鑑於產業外籍勞工工作數年後，工作技能已達熟練，如延長工作年限可使表現良好外籍勞工繼續留臺工作，並節省訓練成本與時間，現行家庭看護工作之外國人，經專業訓練或自力學習得在境內工作期間累計不得逾十四年，為保障不同外籍勞工之同等工作權，爰提出「就業服務法第五十二條」條文修正草案。是否有當？敬請公決。
92,1,高級中等學校建教合作實施及建教生權益保障法第二十二條條文修正草案,2020/3/3,2021/5/21,三讀,1,1,1,0,萬美玲,,,,,,,,,,,,,,,,,,,,,魯明哲,呂玉玲,張育美,陳玉珍,曾銘宗,林為洲,賴士葆,林思銘,鄭麗文,林文瑞,鄭正鈐,林奕華,李貴敏,陳以信,李德維,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"高級中等學校建教合作實施及建教生權益保障, 高級中等學校, 學校, 建教合作, 建教, 建教生, 權益保障, 權益, 保障, 建教合作實施, 高級中等, 建教生權益保障",本院委員萬美玲等 16 人，鑒於建教生主要身分為學生，學習仍是建教生的主要目標，使其在職場作中學，學得一技之長、技術縱深。且建教生家庭背景大多為經濟弱勢，其所領取職業技能訓練之生活津貼，乃為所得稅法第四條第一項第八款規定，參加職業訓練而給予之補助費性質，非屬一般傳統僱傭關係下，勞工給付勞務所取得之對價。復參酌社會救助法第五條之一第一項第一款等之規定，及中央主管機關函釋之意旨，爰提出「高級中等學校建教合作實施及建教生權益保障法第二十二條條文修正草案」。是否有當？敬請公決。
93,1,勞動基準法增訂第三十條之二條文草案,2020/3/3,2020/3/3,交付審查,0,0,0,0,萬美玲,,,,,,,,,,,,,,,,,,,,,魯明哲,呂玉玲,曾銘宗,林思銘 ,張育美,鄭天財,鄭正鈐,賴士葆,林文瑞,陳以信,林為洲,李貴敏,李德維,鄭麗文,林奕華,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"勞動基準, 勞動, 基準",本院委員萬美玲等 16 人，鑒於國人隨著大眾運輸系統愈趨發達，通勤習慣亦逐漸改變，搭乘大眾運輸工具上班之民眾逐年增加，然勞工搭乘大眾運輸工具上班時，如遭遇不可歸責於勞工之事故，致使勞工不能準時抵達公司時，雖大部分大眾運輸業者有協助提供相關誤點證明，但仍有部分大眾運輸業者未能即時提供或甚至不提供相關誤點證明予受耽誤之乘客，致使該乘客權益受損。為改正前述狀況，爰參考內政部七十四年「台內勞字第三五一四四七號函釋」提案增訂「勞動基準法」第三十條之二，明定：「員工搭乘大眾運輸工具，途中若發生不可歸責於員工之事由，大眾運輸業者應核發誤點證明」。是否有當？敬請公決。
