ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
1,1,原住民身分法部分條文修正草案,2020/2/21,2020/12/31,三讀,1,1,1,0,鄭天財,,,,,,,,,,,,,,,,,,,,,陳雪生  ,呂玉玲  ,孔文吉  ,林德福,  徐志榮  ,馬文君  ,林文瑞  ,陳超明  ,翁重鈞  ,林奕華,  陳玉珍  ,曾銘宗  ,洪孟楷  ,林思銘 , 魯明哲 ,謝衣鳯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"原住民, 身分, 原住民身分",本院委員鄭天財Sra Kacaw 等 17 人，有鑑於原住民身分之認定確有配合民法或實務操作現況等修正之必要，同時本法之立法原則兼採血統及認同主義，被收養者為取得原住民身分，仍應依本法所定原住民身分之認定原則，從原住民養父母之姓或原住民傳統名字，始得申請取得原住民身分。而民法第一千零五十九條，子女從父姓或母姓亦有所修正，惟現行原住民身分法自九十七年修正至今卻未有相關配套之修正，導致於部分案例之不合理；除對於不合時宜之文字略作修正外，考量對於身分認定、收養、例外取得原住民身分、變更姓名登記等多種不同制度之不當，例如需養父母同具原住民身分且共同收養時，養子女才取得原住民身分之限制、原住民與非原住民結婚所生子女，於父母離婚後由具有原住民身分之父或母行使或負擔者，例外使無原住民身分之子女取得原住民身分等，此種不合立法原則兼採血統及認同主義應修正之，爰修正「原住民身分法」部分條文，以利整體法制度之完善。是否有當？敬請公決。
32,1,原住民族基本法增訂第二十條之一條文草案,2020/3/3,2020/3/3,交付審查,0,0,0,0,鄭天財,,,,,,,,,,,,,,,,,,,,,廖婉汝,曾銘宗 ,吳斯懷 ,呂玉玲 ,林文瑞 ,陳超明 ,鄭正鈐 ,陳以信 ,游毓蘭 ,賴士葆 ,魯明哲 ,洪孟楷 ,林為洲 ,林奕華 ,徐志榮 ,李德維,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"原住民族基本, 基本, 原住民族, 原住民",本院委員鄭天財Sra Kacaw 等 17 人，鑒於原住民保留地取得所有權及管理之法律依據為「山坡地保育利用條例」第三十七條，但原住民保留地並非皆位於山坡地內，以「山坡地保育利用條例」第三十七條規定辦理法制上實欠妥適，應將原住民保留地取得及管理等規定移列至「原住民族基本法」規定之，始符實際法制，爰新增「原住民族基本法」第二十條之一。是否有當？敬請公決。
142,1,原住民族自治推動條例草案,2020/3/6,2022/4/20,委員會審查,0,0,1,0,廖國棟,,,,,,,,,,,,,,,,,,,,,林為洲,林德福,廖婉汝,魯明哲,萬美玲,林思銘,翁重鈞,費鴻泰,吳斯懷,陳以信,洪孟楷,鄭正鈐,楊瓊瓔,林文瑞,鄭麗文,李貴敏,游毓蘭,謝衣鳯,呂玉玲,陳超明,林奕華,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"原住民族自治推動, 原住民族自治, 原住民族, 自治, 推動, 自治推動, 原住民",本院委員廖國棟等 22 人，鑒於蔡總統第一任原住民族政見說明「承認原住民族自主及自決權利，落實推動原住民族自治」，並詳述依《聯合國原住民族權利宣言》、《中華民國憲法增修條文》及《原住民族基本法》，制定《原住民族自治法》，尊重原住民族之自治意願，保障其平等地位及自主發展，實行原住民族自治。惟執政至今業近四年，尚未提出配套法案。又依原住民族基本法第四條及第五條規定：「政府應依原住民族意願，保障原住民族之平等地位及自主發展，實行原住民族自治；其相關事項，另以法律定之。」「國家提供充分資源，每年應寬列預算協助原住民族自治發展。自治區之自治權限及財政，除本法及自治相關法律另有規定外，準用地方制度法、財政收支劃分法及其他法律有關縣（市）之規定。」依上揭規定，政府應依原住民族各族要求自治之意願，儘速協助原住民族各族實行原住民族自治。是以，為謀求原住民族追求民族自治之冀望，應儘速協助原住民族各族創造與政府協商原住民族自治方案之管道，進而草擬最為適宜之原住民族自治推動條例草案，藉此取回民族自治之權利，以達共存共榮雙贏局面。是否有當？敬請公決。
143,1,原住民族土地及海域法草案,2020/3/6,2022/3/28,委員會審查,0,0,1,0,廖國棟,,,,,,,,,,,,,,,,,,,,,費鴻泰,楊瓊瓔,呂玉玲,林為洲 ,萬美玲,陳以信,吳斯懷,林文瑞,謝衣鳯,林德福,林思銘,洪孟楷,游毓蘭,鄭麗文,林奕華,廖婉汝,翁重鈞,鄭正鈐,李貴敏,陳超明,魯明哲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"原住民族土地及海域, 原住民族土地, 土地及海域, 土地, 海域, 原住民族, 原住民",本院委員廖國棟等 22 人，鑒於蔡總統第一任原住民族政見說明「尊重原住民族與其土地的獨特關係，立法保障原住民族土地權」，又於一零五年八月一日代表政府向原住民族道歉業明示儘速將「原住民族土地及海域法」等原住民族權利法案，送請立法院審議。惟執政至今業近四年，尚未提出配套法案。是以，為謀求原住民族追求回復並取得原住民族土地權利之冀望，制定「原住民族土地及海域法」，藉此辦理原住民族土地及海域之回復、取得、處分、計畫、管理及利用，以達共存共榮雙贏局面。是否有當？敬請公決。
144,1,原住民保留地權利回復條例草案,2020/3/6,2023/12/7,黨團協商,0,1,1,0,廖國棟,,,,,,,,,,,,,,,,,,,,,林為洲,林德福 ,廖婉汝,費鴻泰,萬美玲,林思銘,翁重鈞,魯明哲,楊瓊瓔,吳斯懷,陳以信,洪孟楷,鄭正鈐,林文瑞,鄭麗文,李貴敏,游毓蘭,呂玉玲,陳超明,謝衣鳯,林奕華,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"原住民保留地權利回復, 原住民保留地, 權利回復, 權利, 原住民, 回復",本院委員廖國棟等 22 人，鑒於蔡總統第一任原住民族政見說明「尊重原住民族與其土地的獨特關係，立法保障原住民族土地權」，又於一零五年八月一日代表政府向原住民族道歉業明示儘速將「原住民族土地及海域法」等原住民族權利法案，送請立法院審議，且賴前院長亦於一百零八年十月承諾原住民族保留地專法將送立法院審議，惟執政至今業近四年，尚未提出配套法案。依原住民族基本法第二十條第一項第三項規定，政府應承認原住民族土地及自然資源權利，並儘速制定原住民族土地及海域劃設及規劃等工作。為要求政府實踐總統之承諾，優先制定「原住民保留地權利回復條例」，就目前原住民保留地之規劃、管理及增劃編等作業予以明文法制化，進而賡續進一步處理原住民族土地及海域之回復、取得、處分、計畫、管理及利用，以達共存共榮雙贏局面。是否有當？敬請公決。
145,1,原住民族基本法部分條文修正草案,2020/3/6,2020/3/10,交付審查,0,0,0,0,廖國棟,,,,,,,,,,,,,,,,,,,,,陳超明,楊瓊瓔,林為洲,林德福 ,廖婉汝,費鴻泰,鄭麗文,謝衣鳯 ,萬美玲,林思銘,翁重鈞,魯明哲,陳以信,洪孟楷,鄭正鈐,吳斯懷,游毓蘭,李貴敏,林文瑞,林奕華,呂玉玲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"原住民族基本, 基本, 原住民族, 原住民",本院委員廖國棟等 22 人，鑒於蔡總統第一任原住民族政見說明「尊重原住民族與其土地的獨特關係，立法保障原住民族土地權」，又於一零五年八月一日代表政府向原住民族道歉業明示儘速將「原住民族土地及海域法」等原住民族權利法案，送請立法院審議，且賴前院長亦於一百零八年十月承諾原住民族保留地專法將送立法院審議，惟執政至今業近四年，尚未提出配套法案。依原住民族基本法第二十條第一項第三項規定，政府應承認原住民族土地及自然資源權利，並儘速制定原住民族土地及海域劃設及規劃等工作。為要求政府實踐總統之承諾，優先制定「原住民保留地權利回復條例」，就目前原住民保留地之規劃、管理及增劃編等作業予以明文法制化，進而賡續進一步處理原住民族土地及海域之回復、取得、處分、計畫、管理及利用，以達共存共榮雙贏局面。是否有當？敬請公決。
146,1,原住民身分法第八條條文修正草案,2020/3/6,2020/12/31,三讀,1,1,1,0,廖國棟,,,,,,,,,,,,,,,,,,,,,費鴻泰,楊瓊瓔,呂玉玲,林為洲 ,萬美玲,吳斯懷,林文瑞,陳超明,林德福,林思銘,陳以信,鄭麗文,謝衣鳯 ,廖婉汝,翁重鈞,洪孟楷,李貴敏,魯明哲,鄭正鈐,游毓蘭,林奕華,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"原住民身分, 原住民, 身分",本院委員廖國棟等 22 人，鑑於原住民身分法取得原住民身分之兩大原則為主觀上要有原住民身分之認同，即申請取得原住民身分之意願及對原住民身分之自我認同；客觀上需有原住民之血統及從原住民血統之姓或傳統名字，才可申請取得原住民身分。惟部分民眾因身分行為原則不得代理應親自行為之，導致在原住民身分法施行前欲取得原住民身分者，而無救濟管道。又因無法取得原住民身分，其子女亦無管道取得原住民身分，影響其子女身分認同之權益，據此修正為本法施行前死亡者之子女，若有其意願取得原住民身分，應與一般人取得原住民身分之要件相同，故要求應取用原住民族傳統名字，才得取得原住民身分，爰提案修正「原住民身分法」第八條條文。是否有當？敬請公決。
222,1,原住民族狩獵用槍枝彈藥許可與管理條例草案,2020/3/13,2020/3/17,交付審查,0,0,0,0,鄭天財,,,,,,,,,,,,,,,,,,,,,廖婉汝,林思銘,林文瑞,曾銘宗,吳斯懷,陳超明,鄭正鈐,林為洲,陳以信,游毓蘭,洪孟楷,賴士葆,林奕華,魯明哲,徐志榮,李德維,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"原住民族狩獵用槍枝彈藥許可與管理, 原住民族, 原住民, 原住民族狩獵, 狩獵, 狩獵用, 狩獵用槍枝, 槍枝彈藥, 槍枝, 彈藥, 槍枝彈藥許可與管理, 許可與管理, 許可, 管理",本院委員鄭天財Sra Kacaw 等 17 人，鑑於原住民族基本法第十九條之規定，原住民得因傳統文化、祭儀或自用非營利，於原住民族地區依法從事獵捕野生動物等採集自然資源行為。於獵捕野生動物時，所能使用之工具，依現行法規定僅限於自製獵槍，然自製獵槍無論性能或安全性上皆具有很多問題，導致原住民族在使用上容易發生誤傷人或傷己之情形。此外一般國人對於槍枝具有過多之恐懼，且為避免原住民族使用槍枝之行為遭有心人士濫用，應特別訂定管理方式，使槍枝能於檯面上合法管制，形塑出合法槍枝性能與安全皆無疑慮，相較之下使用非法槍枝於性能或安全上皆無優勢，更負擔違法之成本，使市場機制淘汰違法槍枝製造商，更能給予原住民族安全之用槍狩獵環境，亦不影響一般人民安全、社會秩序，爰制定「原住民族狩獵用槍枝彈藥許可與管理條例」草案。是否有當？敬請公決。
223,1,原住民族健康法草案,2020/3/13,2023/5/26,三讀,1,1,1,0,鄭天財,,,,,,,,,,,,,,,,,,,,,鄭正鈐,曾銘宗,吳斯懷 ,呂玉玲,林思銘,林文瑞,陳以信,賴士葆,游毓蘭,陳超明,魯明哲,洪孟楷,林為洲,林奕華,徐志榮,廖婉汝,李德維,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"原住民族健康, 原住民族, 原住民, 健康",本院委員鄭天財Sra Kacaw 等 18 人，鑑於原住民族基本法第二十四條第一項規定：「政府應依原住民族特性，策訂原住民族公共衛生及醫療政策，將原住民族地區納入全國醫療網，辦理原住民族健康照顧，建立完善之長期照護、緊急救護及後送體系，保障原住民健康及生命安全。」另同條第三項更具體規定：「政府應寬列預算，補助距離最近醫療或社福機構一定距離以上之原住民就醫、緊急醫療救護及後送，長期照護等醫療或社會福利資源使用之交通費用，其補助辦法，由中央目的事業主管機關定之。」依原住民族基本法第三十四條第一項規定，「主管機關應於本法施行後三年內，依本法之原則修正、制定或廢止相關法令。」爰擬具「原住民族健康法」草案。是否有當？敬請公決。
231,1,森林法第十五條條文修正草案,2020/3/13,2021/5/19,黨團協商,0,1,1,0,陳亭妃,蘇震清,林岱樺,,,,,,,,,,,,,,,,,,,黃國書,羅美玲,陳素月 ,莊瑞雄,王美惠,沈發惠,李昆澤,蔡易餘,莊競程,羅致政,余天,陳秀寳,吳玉琴,邱泰源,陳歐珀,湯蕙禎,蘇治芬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,森林,本院委員陳亭妃、蘇震清、林岱樺等 20 人，針對天然災害發生後，國有林竹木漂流至國有林區域外時，各級政府及公共事業未能於一個月內清理註記完畢者，當地居民基於熱心依主管機關公告指定期間、區域及其他應遵行事項，得自由撿拾清理，避免遭政府疑為侵占嫌疑。另外為尊重原住民傳統文化、祭儀或自用之需，另訂其撿拾貴重木之樹種事項。爰擬具「森林法第十五條條文」修正草案。是否有當？敬請公決。
