ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
85,1,推動募兵制暫行條例第五條條文修正草案,2020/3/3,2020/3/3,交付審查,0,0,0,0,林奕華,,,,,,,,,,,,,,,,,,,,,曾銘宗 ,洪孟楷 ,吳斯懷 ,李貴敏 ,江啟臣 ,林為洲 ,廖婉汝,吳怡玎,溫玉霞,陳超明,陳玉珍,張育美,林思銘,林德福 ,魯明哲,李德維,游毓蘭,鄭正鈐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"推動募兵制, 募兵制, 兵, 募兵",本院委員林奕華等 19 人，為鼓勵國人從軍，保障軍人權益、增加募兵誘因，政府特制定「推動募兵制暫行條例」，以鼓勵優秀之國軍官兵長留久用、提升國防戰力。對於長期從事軍職之軍人，基於「全人生」規劃，由國家提供軍人家屬妥適照顧，故於本條例第五條明訂志願役退除役軍人符合支領退休俸、贍養金及生活補助費人員之家屬予以自用住宅水電優待，以慰志願役軍人長期為國犧牲奉獻之辛勞。然依照現行法規規定，若該退除役軍人家屬先於本人離世，即喪失補助資格。失去該法原旨慰勉退除役軍人辛勞之本意，顯有不合理之處。爰修正「推動募兵制暫行條例第五條」，將自用住宅水電優待及於本人，以保障退除役軍人之權益。是否有當？敬請公決。
87,1,國軍退除役官兵輔導條例第二十四條及第三十四條條文修正草案,2020/3/3,2020/12/30,三讀,1,1,1,0,林奕華,,,,,,,,,,,,,,,,,,,,,曾銘宗,洪孟楷,李貴敏,陳超明,林思銘,江啟臣,林為洲,吳斯懷,林德福,魯明哲 ,李德維,廖婉汝,陳玉珍,吳怡玎,游毓蘭,張育美,溫玉霞,鄭正鈐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"國軍退除役官兵輔導, 國軍退除役, 國軍, 退除役, 官兵, 輔導, 官兵輔導, 退除役官兵",本院委員林奕華等 19 人，為鼓勵國人從軍，保障軍人權益、增加募兵誘因，政府特制定「推動募兵制暫行條例」，以鼓勵優秀之國軍官兵長留久用、提升國防戰力，然該條例將於中華民國一百零九年十二月三十一日止失效。為鼓勵優秀之國軍官兵長留久用，對於長期從事軍職之軍人，基於「全人生」規劃，由國家提供國軍官兵家屬妥適照顧，並保障原條例失效後軍人及其眷屬之權益。爰修正「國軍退除役官兵輔導條例第二十四條及第三十四條條文」，將退除役軍人本人及其眷屬住宅自用生活所需之水電補助措施明文規定，予以保障。是否有當？敬請公決。
97,1,國軍眷村文化保存暨發展條例草案,2020/3/3,2020/3/3,交付審查,0,0,0,0,邱志偉,高嘉瑜,劉世芳,,,,,,,,,,,,,,,,,,,余天,陳歐珀,鍾佳濱,吳玉琴,林宜瑾,陳瑩,許智傑,蔡易餘,吳琪銘,林淑芬,趙天麟,羅致政,邱泰源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"國軍眷村文化保存暨發展, 國軍, 眷村, 文化, 文化保存, 發展, 文化保存暨發展, 國軍眷村, 眷村文化, 保存暨發展, 保存",本院委員邱志偉、高嘉瑜、劉世芳等 16 人，鑑於眷村文化乃台灣發展之歷史過程的一部分，也是大多數人共有的記憶與印象，其資產史蹟的保存刻不容緩。眷村文化資產保存工作目前面臨有專業但無管理權，有管理權卻無專業的困境，法律依據相當薄弱，為能有效保存眷村文化資產，不擬具專法難以盡其功，爰擬具「國軍眷村文化保存暨發展條例」草案，以加速保存眷村文化資產，不容坐視該文化資產凋蔽、消失。是否有當？敬請公決。
405,1,農民退休儲金條例草案,2020/4/7,2020/5/12,三讀,1,1,1,0,陳亭妃,陳歐珀,蘇震清,,,,,,,,,,,,,,,,,,,鍾佳濱,吳秉叡,沈發惠,黃世杰,王美惠,羅致政,管碧玲,何志偉,江永昌,趙正宇,莊競程,黃秀芳,劉建國,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農民退休儲金條例草案,本院委員陳亭妃、陳歐珀、蘇震清等 16 人，鑑於當前我國軍公教人員及勞工已有軍人保險、公教人員保險及勞工保險的老年給付，亦有可支領退休金之制度，惟農民所參加之農民健康保險欠缺老年給付，亦無職業退休金制度，農民老年生活保障尚有不足。按全國農業會議總結論，建議政府應整合農民健康保險、老年農民福利津貼與其他社會保險，並以老年農民福利津貼為基礎，在不排擠其他族群及影響農民權益下，建立農民年金制度，以照顧農民退休安養生活。其次，為維護國家糧食安全，應健全農民社會安全制度，以提高農民年老後之經濟生活保障，鼓勵年輕人投入農業生產，並促使老年農民安心退休離農，以活絡農地利用，促進農業人口年輕化、擴大農場經營規模及提升農業競爭力。是以，在既有老農津貼之基本保障基礎上，對於有意願儲蓄退休儲金之農民，政府有照顧其退休生活之義務，故乃參考勞工退休金及私校教職員工退撫等制度，建構農民退休金制度，以保障農民年老後能與其他行業一樣享有適當的生活水準，而該退休金制度即與老農津貼共同構成農民保護之政策。爰擬具「農民退休儲金條例」草案。是否有當？敬請公決。
494,1,農民退休儲金條例草案,2020/4/17,2020/5/22,三讀,1,1,1,0,蘇治芬,蔡易餘,莊瑞雄,賴惠員,,,,,,,,,,,,,,,,,,陳亭妃,蘇震清,邱志偉,劉世芳,范雲,黃秀芳,羅致政,鍾佳濱,蘇巧慧,王美惠,邱泰源,莊競程,張廖萬堅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農民退休儲金條例草案,本院委員蘇治芬、蔡易餘、莊瑞雄、賴惠員等 17 人，鑒於「中華民國建國一百年社會福利政策綱領」中指出，社會保險之目的在於保障全體國民免於因年老、疾病、死亡、身心障礙、生育，以及保障受僱者免於因職業災害、失業、退休，而陷入個人及家庭的經濟危機。據此，其體系應涵蓋職業災害保險、健康保險、年金保險、就業保險、長期照護保險等。政府更應積極縮小因不同職業別與所得等級造成給付水準、所得替代率與給付條件等之差距。我國大多數職業均有退休制度，以我國軍公教人員及勞工為例，分別有軍人保險、公教人員保險及勞工保險等退伍給付、養老給付及老年給付，同時亦可支領退休金之制度，惟農民老年安養缺乏法定之社會安全保障，農民健康保險中欠缺老年給付，僅以補充性質的老農福利津貼發放，缺乏完善退休金制度，農民老年生活保障顯有不足。為健全農民社會安全制度，照顧農民退休安養生活提供經濟生活保障，以鼓勵年輕人投入農業生產，調整農業勞動力結構，參考勞工退休金條例所定勞工退休金等制度，設立農民退休儲金個人專戶（以下簡稱退休儲金專戶），由農民與政府共同提繳農民退休儲金，以供農民未來退休養老使用，爰擬具「農民退休儲金條例」草案。是否有當？敬請公決。
508,1,農民退休儲金條例草案,2020/4/17,2020/5/22,三讀,1,1,1,0,陳素月,莊瑞雄,,,,,,,,,,,,,,,,,,,,劉世芳,王美惠,余天,湯蕙禎,范雲,趙正宇,鍾佳濱,黃世杰,羅美玲,陳秀寳,郭國文,李昆澤,吳琪銘,陳亭妃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農民退休儲金條例草案,本院委員陳素月、莊瑞雄等 16 人，有鑑於我國軍公教人員及勞工分別有軍人保險之退伍給付、公教人員保險之養老給付及勞工保險之老年給付，亦有可支領退休金之制度；反觀農民僅有自願性質農民健康保險，缺乏老年給付，也無退休金制度，對農民老年生活保障嚴重不足。第六次全國農業會議總結論，建議政府應整合農保，老年農民福利津貼與其他社會保險，以老農津貼為基礎，建立農民年金制度，以完整照顧農民退休生活。爰擬具「農民退休儲金條例」草案。是否有當？敬請公決。 
570,1,陸海空軍服制條例增訂第九條之一條文草案,2020/4/24,2021/12/21,三讀,1,1,1,0,蔡適應,何志偉,,,,,,,,,,,,,,,,,,,,賴品妤,陳秀寳,張廖萬堅,鄭運鵬,羅致政,周春米,邱志偉,洪申翰,王美惠,張宏陸,莊競程,黃秀芳,陳素月,邱議瑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陸海空軍服制條例增訂第九條之一條文草案,本院委員蔡適應、何志偉等 16 人，鑑於「陸海空軍服制條例（以下稱本條例）」第九條明定現役軍人之服飾與標誌籌補事宜，並授權國防部訂定細節規定；國防部亦於 106 年發布「國軍現役軍人服制籌補規定」。該規定第 5 點與第 6 點，明定滿足特定條件下現役軍人，得以代金受領模式取代統一籌補服裝之方便。「國軍現役軍人服制籌補規定」第 1 點明白表示：「本規定依陸海空軍服制條例第九條第一項規定訂定之」。惟本條例第九條第一項並未授權國防部得以發放代金方式取代統一籌補，該規定恐違反授權明確性原則，有違法之虞。為完備服裝代金法律授權，亦使有需要之現役軍人得請領代金，爰增訂「陸海空軍服制條例第九條之一條文草案」。是否有當？敬請公決。
598,1,農民退休儲金條例草案,2020/4/24,2020/5/22,三讀,1,1,1,0,劉建國,,,,,,,,,,,,,,,,,,,,,楊曜,黃國書,吳琪銘,洪申翰,林岱樺,湯蕙禎,李昆澤,吳玉琴,趙天麟,何欣純,王美惠,莊瑞雄,賴惠員,郭國文,余天,張廖萬堅,黃秀芳,陳素月,陳秀寳,范雲,莊競程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農民退休儲金條例草案,本院委員劉建國等 22 人，國家為改良農民之生活，增進其生產技能，應制定保護農民之法律，實施保護農民之政策，中華民國憲法第一百五十三條第一項定有明文。老年農民福利津貼暫行條例係國家為實現基本國策所制定之法律，並為農民健康保險條例尚未增列老年給付項目前之權宜措施。當前我國軍公教人員及勞工分別有軍人保險、公教人員保險及勞工保險之退伍給付、養老給付及老年給付，亦有可支領退休金之制度；農民所參加之農民健康保險（以下簡稱農保）欠缺老年給付，亦無退休金制度，農民老年生活保障尚有不足。又第六次全國農業會議總結論，建議政府應整合農保、老年農民福利津貼（以下簡稱老農津貼）與其他社會保險，並以老農津貼為基礎，在不影響農民權益下，建立農民年金制度，以照顧農民退休安養生活。爰此特擬具「農民退休儲金條例草案」。是否有當？敬請公決。
747,1,國軍眷村文化保存暨發展條例草案,2020/5/8,2020/5/12,交付審查,0,0,0,0,魯明哲,呂玉玲,張育美,林為洲,林奕華,,,,,,,,,,,,,,,,,孔文吉,李貴敏,費鴻泰,楊瓊瓔,廖國棟,蔣萬安,萬美玲,李德維,曾銘宗,徐志榮,許淑華,鄭麗文,陳雪生,林德福,游毓蘭,廖婉汝,溫玉霞,陳以信,吳斯懷,洪孟楷,翁重鈞,馬文君,高金素梅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,國軍眷村文化保存暨發展條例草案,本院委員魯明哲、呂玉玲、張育美、林為洲、林奕華等 28 人，鑒於國軍眷村文化乃我國歷史發展過程的一部分，且描繪出近代臺灣歷史變遷、社會演進過程，並融入不同族群展現出多樣性文化，為我國特有文化的一環，目前我國計有 13 處「眷村文化保存園區」、37 處「眷村文化資產」。然，目前對於國軍眷村文化保存之法律依據相當薄弱且無相關預算辦理後續修復工作，為永續推動我國國軍眷村文化保存及發展之需要，傳承其特殊風貌，以達落實眷村文化保存、活化及永續發展之目標。爰此，特擬具「國軍眷村文化保存暨發展條例」草案。是否有當？敬請公決。
861,1,全民防衛動員準備法部分條文修正草案,2020/5/22,2020/5/26,交付審查,0,0,0,0,陳以信,張育美,溫玉霞,林為洲,謝衣鳯,,,,,,,,,,,,,,,,,鄭麗文,李貴敏,曾銘宗,馬文君,廖國棟,翁重鈞,徐志榮,江啟臣,游毓蘭,萬美玲,廖婉汝,吳斯懷,洪孟楷,陳雪生,林德福,蔣萬安,李德維,羅明才,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,全民防衛動員準備法部分條文修正草案,本院委員陳以信、張育美、溫玉霞、林為洲、謝衣鳯等 23 人，鑒於當前新冠肺炎疫情蔓延，政府與國人刻正全力推動防疫工作。防疫視同作戰，然而現行《全民防衛動員準備法》並未慮及防疫動員之需求，未將傳染病防治列入國軍動員準備項目，不利於全民動員防疫之推行。今為賦予國防部實施防疫演訓動員、藥品物資儲備、與指定公民營產業配合之法源依據，爰擬具「全民防衛動員準備法」部分條文修正草案。並配合修正「傳染病防治法」，增列國防主管機關應協助辦理之支援事項。是否有當？敬請公決。
