ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
37,1,性別工作平等法第十五條條文修正草案,2020/3/3,2021/12/28,三讀,1,1,1,0,費鴻泰,陳玉珍,萬美玲,,,,,,,,,,,,,,,,,,,孔文吉 ,陳雪生 ,廖國棟 ,楊瓊瓔,林文瑞 ,曾銘宗 ,魯明哲 ,林思銘,陳超明 ,鄭正鈐 ,李德維 ,洪孟楷 ,李貴敏 ,張育美 ,溫玉霞 ,林奕華 ,林德福,吳斯懷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"性別工作平等, 性別, 工作, 平等, 工作平等",本院委員費鴻泰、陳玉珍、萬美玲等 21 人，為鼓勵勞工婦女生產，解決少子化問題，爰提案修正「性別工作平等法第十五條」，將現行女性受雇者分娩前後產假由八星期改為十星期，友善婦女生育環境。是否有當？敬請公決。
94,1,勞動基準法第五十條條文修正草案,2020/3/3,2020/3/3,交付審查,0,0,0,0,萬美玲,,,,,,,,,,,,,,,,,,,,,曾銘宗,林為洲 ,魯明哲,呂玉玲,張育美,洪孟楷 ,賴士葆,林思銘,李貴敏,林文瑞,鄭正鈐,林奕華,陳以信,鄭麗文,李德維,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"勞動基準, 勞動, 基準",本院委員萬美玲等 16 人，有鑑於台灣少子化問題日趨嚴重，已成國安危機。政府應打造友善生育之職場環境，鼓勵國人生育，以解決國安危機。惟依據現行做法，雇主給予女性受僱者分娩前後產假「八星期」，恐無法提供婦女產後完整休養，實有修法之必要。爰提案修正「勞動基準法第五十條條文」，修訂產假為十星期，以鼓勵婦女生產，完善婦女生育權益，使婦女在產後能夠獲得更完善的照顧與休養。是否有當？敬請公決。
132,1,民法部分條文修正草案,2020/3/3,2020/12/25,三讀,1,1,1,0,鍾佳濱,,,,,,,,,,,,,,,,,,,,,王美惠,羅美玲,伍麗華,高嘉瑜,陳秀寳,蔡易餘,余天,吳秉叡,范雲,林宜瑾,莊競程,張廖萬堅,何欣純,湯蕙禎,陳亭妃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,民法,本院委員鍾佳濱等 16 人，鑑於我國民法制訂於 1929 年，昔日為避免未成年人因判斷力不足遭受矇騙，或是肩負無法承擔之責任，故訂定年滿二十歲方為成年，擁有行為能力。現今網路時代資訊大量流通，青少年自我意識發展歷程與 90 年前狀態已非同日而語，且降低成年年齡實屬各國立法潮流。又《消除對婦女歧視公約》和《兒童權利公約》締約國有責任遵守其尊重、保護和實現婦女兒童權利的義務。為保護未成年人之權益，防止締約國允許未成年者結婚。故提出「民法部分條文修正草案」。是否有當？敬請公決。
162,1,性別工作平等法第十五條條文修正草案,2020/3/6,2021/12/28,三讀,1,1,1,0,許淑華,李德維,廖婉汝,,,,,,,,,,,,,,,,,,,萬美玲,鄭天財,謝衣鳯 ,林文瑞,廖國棟,鄭麗文,曾銘宗,吳怡玎,孔文吉,洪孟楷,溫玉霞,林為洲,陳雪生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"性別工作平等, 性別工作, 工作平等, 性別, 工作, 平等",本院委員許淑華、李德維、廖婉汝等 16 人，有鑑於少子化為國安危機，為鼓勵國人生育，政府應打造良好育兒職場環境。惟現行「性別工作平等法第十五條」，雇主給予女性受僱者分娩前後產假「八星期」，其計算方式包含勞工應享有之周休二日，若扣除周休二日共十六天，產假實際上僅剩四十天，恐無法提供婦女產後完整休養。然「公務人員請假規則」中，婦女分娩前後產假以「天數」計算，計算方式並不包含六日，致兩者產假計算方式，顯有不平等之處，實有修法之必要。爰提案修正「性別工作平等法」第十五條條文修正草案，將產假由現行八星期提升為十星期，以鼓勵婦女生產，完善婦女生育權益。是否有當？敬請公決。
214,1,公共場所母乳哺育條例第七條條文修正草案,2020/3/13,2020/3/17,交付審查,0,0,0,0,洪孟楷,,,,,,,,,,,,,,,,,,,,,魯明哲,林為洲,萬美玲,呂玉玲,溫玉霞 ,廖婉汝,賴士葆,孔文吉,陳以信,許淑華,鄭正鈐,謝衣鳯,吳怡玎,翁重鈞,楊瓊瓔,吳斯懷,陳玉珍,陳雪生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"公共場所母乳哺育, 公共場所, 母乳哺育, 公共, 哺育, 母乳",本院委員洪孟楷等 19 人，為提倡母乳哺育之風氣及觀念，特提出「公共場所母乳哺育條例第七條條文修正草案」，明訂各級主管機關為提倡母乳哺育之風氣及觀念應與民間團體合作辦理，藉以達到母乳政策公私協力之治理推動，並深化婦女於公共場所哺育母乳之權利。是否有當？敬請公決。
272,1,性別工作平等法第十五條條文修正草案,2020/3/20,2021/12/28,三讀,1,1,1,0,萬美玲,楊瓊瓔 ,許淑華,林為洲,,,,,,,,,,,,,,,,,,林德福,游毓蘭,李德維,曾銘宗,陳玉珍,傅崐萁,洪孟楷,鄭麗文,翁重鈞,蔣萬安,張育美,林思銘,謝衣鳯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"性別工作平等, 性別工作, 工作平等, 性別, 工作, 平等",本院委員萬美玲、楊瓊瓔、許淑華、林為洲等 17 人，有鑑於台灣少子化問題日趨嚴重，已成國安危機。政府應打造友善生育之職場環境，鼓勵國人生育，以解決國安危機。惟依據現行做法，雇主給予女性受僱者分娩前後產假「八星期」，恐無法提供婦女產後完整休養，實有修法之必要。爰提案修正「性別工作平等法第十五條條文」，修訂產假為十星期，以鼓勵婦女生產，完善婦女生育權益，使婦女在產後能夠獲得更完善的照顧與休養。是否有當？敬請公決。
331,1,性別工作平等法第二十條條文修正草案,2020/3/27,2020/3/27,交付審查,0,0,0,0,張育美,,,,,,,,,,,,,,,,,,,,,洪孟楷,孔文吉,徐志榮,楊瓊瓔,吳斯懷,溫玉霞,魯明哲,林奕華,吳怡玎,陳玉珍,李貴敏,陳超明,游毓蘭,李德維,鄭正鈐,廖婉汝,鄭天財,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,性別工作平等法第二十條條文修正草案,本院委員張育美等 18 人，有鑑於近年來國人生育意願低落，其原因除生活開支增加外，我國勞工工作環境對於有養育子女之勞工未臻友善實為另一主因，尤其當孩童遭遇停課之情況時，兒童及少年福利與權益保障法中有家長不得讓兒童單獨留處於易發生危險環境之規定，故依現行法律規範，若孩童上課之處所宣布停課，加上我國目前尚無完善之臨托制度，則雙薪小家庭中父母必須有一方請假以照顧孩童，且依性別工作平等法第二十條之規定，家庭照顧假併入事假計算且不給薪，若停課原因為流行疾病時往往一次即停課七日，七日之事假明顯不足以因應現今之停課需求，且請假之一方多為婦女，如無充分彈性時間照顧孩童，則會影響婦女就業意願，無法落實本法欲營造性平等工作環境之目的，故擬將家庭照顧假獨立於事假外並比照公務人員請假規則之規定給薪。是否有當？敬請公決。
474,1,毒品危害防制條例部分條文修正草案,2020/4/17,2022/4/21,委員會審查,0,0,1,1,蔡壁如,賴香伶,邱臣遠,高虹安,張其祿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,毒品危害防制條例部分條文修正草案,本院民眾黨黨團，有鑑於毒品問題日益嚴重，戕害國民健康，其中毒品入侵校園殘害學童身心健全發展，更有甚者竟販賣毒品予懷胎婦女，導致胎兒發育不全乃至死亡，影響社會安全甚鉅。另為遏止各類新型態樣毒品氾濫歪風，關於製造、運輸、販賣各級毒品或特定營業場所知悉未通報或藉此營利者之罰則皆應加重，以生有效之嚇阻力。此外司法警察及司法警察官包庇製造、販運毒品之行為亦屢見不鮮，亦應加重刑責懲處之，以正官箴。茲為確保未成年人、孕婦（胎兒）之生命權與身體健康之基本人權，並捍衛全體國民健康，爰擬具「毒品危害防制條例部分條文修正草案」，補正本條例刑罰與罰金之不足之處。是否有當？敬請公決。
498,1,公教人員保險法第十二條條文修正草案,2020/4/17,2023/12/28,三讀,1,1,1,0,劉建國,江永昌,何志偉,許智傑,楊曜,,,,,,,,,,,,,,,,,陳椒華,陳秀寳,洪申翰,黃秀芳,陳瑩,羅致政,吳玉琴,黃國書,陳素月,周春米,賴瑞隆,王美惠,蔡易餘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公教人員保險法第十二條條文修正草案,本院委員劉建國、江永昌、何志偉、許智傑、楊曜等 18 人，鑑於當前少子女化危機愈形嚴重，然而職場上卻仍常見對懷孕婦女之歧視，加上公教人員保險法生育給付之規定嚴格，必須於發生保險事故當時在保，故經常發生學校解聘或不續聘懷孕中教職員並將其退保，使其無法符合資格請領公教人員保險法之生育給付。反觀勞工保險條例相關規定，考量若勞工於懷孕期間被迫離職時可能連帶失去勞保保障，而於民國 98 年 1 月 23 日修正放寬保險有效期間之認定，被保險人只要在保險有效期間懷孕，於保險效力停止後一年內，因同一懷孕事故而分娩或早產者，即得請領勞工保險生育給付。爰此，參酌勞工保險條例第二十條第二項規定，特擬具「公教人員保險法第十二條條文修正草案」。是否有當？敬請公決。
515,1,民法部分條文修正草案,2020/4/17,2020/12/25,三讀,1,1,1,0,周春米,洪申翰,賴品妤,劉世芳,林宜瑾,林楚茵,張宏陸,沈發惠,賴惠員,,,,,,,,,,,,,吳秉叡,羅致政,蘇巧慧,何欣純,邱議瑩,吳玉琴,黃世杰,蔡易餘,鄭運鵬,鍾佳濱,黃國書,吳思瑤,莊競程,范雲,陳柏惟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,民法部分條文修正草案,本院委員周春米、洪申翰、賴品妤、劉世芳、林宜瑾、林楚茵、張宏陸、沈發惠、賴惠員等 24 人，鑑於我國民法成年年齡之規範自西元一九二九年制定公布以來，已逾九十年未曾修正，惟隨著現今網路科技發達，在大量資訊流通下，青少年自我意識的建構能力逐漸增強，世界各國均有下修成年年齡的趨勢，我國以二十歲作為區分完全行為能力人與限制行為能力人之標準應有修正必要。又參照聯合國消除對婦女歧視委員會針對適婚年齡基礎所通過之一般性建議，併予修正訂定婚約及結婚之年齡規範。爰提出「民法部分條文修正草案」。是否有當？敬請公決。 
