ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
278,1,高級中等學校建教合作實施及建教生權益保障法第五條條文修正草案,2020/3/20,2021/5/21,二讀,0,1,1,0,劉建國,黃秀芳,,,,,,,,,,,,,,,,,,,,莊瑞雄,楊曜,黃國書,范雲,陳椒華,陳亭妃,陳秀寳,江永昌,洪申翰,羅致政,趙天麟,羅美玲,莊競程,賴品妤,周春米,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"高級中等學校建教合作實施及建教生權益保障, 高級中等學校, 學校, 建教合作, 建教, 建教生, 權益保障, 權益, 保障, 建教合作實施, 高級中等, 建教生權益保障",本院委員劉建國、黃秀芳等 17 人，鑑於職場上存在眾多求職陷阱以及不肖業者之剝削，對於社會新鮮人而言，實是艱難課題。為避免學生平日工讀或日後進入職場就業，遭到詐騙或不法對待，目前已有台北市、新北市和高雄市政府等縣市集結法學、專家學者和高職教師等，設計基礎勞動權益課程，從源頭教育著手，希冀同學透過此課程，啟發正確之勞動價值與觀念，並在未來進入職場後，除保有敬業樂群之心外，更可捍衛自身勞動權益。爰此，特擬具「高級中等學校建教合作實施及建教生權益保障法第五條條文修正草案」，俾利擴及全國實施。是否有當？敬請公決。
554,1,國民教育法第二十條之一條文修正草案,2020/4/24,2022/4/11,委員會審竣,0,1,1,0,張廖萬堅,,,,,,,,,,,,,,,,,,,,,高嘉瑜,湯蕙禎,王美惠,余天,陳亭妃,莊競程,賴品妤,林淑芬,賴惠員,蔡適應,蘇巧慧,吳琪銘,張宏陸,趙正宇,賴瑞隆,林楚茵,黃秀芳,李昆澤,江永昌,陳歐珀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,國民教育法第二十條之一條文修正草案,本院委員張廖萬堅等 21 人，有鑑於司法院大法官會議釋字784 號解釋：「各級學校學生認其權利因學校之教育或管理等公權力措施而遭受侵害時，即使非屬退學或類此之處分，亦得按相關措施之性質，依法提起相應之行政爭訟程序以為救濟，無特別限制之必要。」。該解釋已賦予各級學校學生完整之訴訟權，有必要就行政訴訟之前置程序予以完備。經查現行《國民教育法》第二十條之一，雖已有國民教育階段學生之申訴、再申訴制度，唯再申訴決定之法律性質為何？不服再申訴決定之救濟程序為何？與訴願之關係為何？均無明文規定。考量學校性質之特殊性，爰參考《教師法》所定之教師申訴制度，對於學生不服再申訴決定者，可提起行政訴訟；於學校行政處分時，再申訴決定視同訴願決定，並同時釐清申訴制度與訴願之關係。基於前述理由，爰提出「國民教育法」第二十條之一條文修正草案。是否有當？敬請公決。 
555,1,高級中等教育法第五十四條及第五十四條之一條文修正草案,2020/4/24,2021/5/11,三讀,1,1,1,0,張廖萬堅,,,,,,,,,,,,,,,,,,,,,林淑芬,湯蕙禎,王美惠,余天,蘇巧慧,賴惠員,莊競程,陳亭妃,賴瑞隆,黃秀芳,吳琪銘,賴品妤,江永昌,張宏陸,蔡適應,趙正宇,高嘉瑜,林楚茵,陳歐珀,李昆澤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高級中等教育法第五十四條及第五十四條之一條文修正草案,本院委員張廖萬堅等 21 人，鑑於司法院大法官會議釋字 784號解釋：「各級學校學生認其權利因學校之教育或管理等公權力措施而遭受侵害時，即使非屬退學或類此之處分，亦得按相關措施之性質，依法提起相應之行政爭訟程序以為救濟，無特別限制之必要。」。該解釋已賦予各級學校學生完整之訴訟權，有必要就行政訴訟之前置程序予以完備。經查現行《高級中等教育法》第五十四條，雖有國民教育階段學生之申訴制度，惟申訴決定之法律性質為何？不服申訴決定之救濟程序為何？且《國民教育法》設有再申訴制度，何以《高級中等教育法》闕如？又申訴決定與訴願之關係為何均無明文規定。考量學校性質特殊，爰參考《教師法》教師申訴制度，對於學生不服申訴決定者，可提起再申訴，爰增設再申訴制度；而不服再申訴決定者，可提起行政訴訟；於學校行政處分時，再申訴決定視同訴願決定，並同時釐清申訴制度與訴願之關係。基於前述理由，提出「高級中等教育法」第五十四條及第五十四條之一條文修正草案。是否有當？敬請公決。
558,1,公立學校教職員退休資遣撫卹條例第三十四條條文修正草案,2020/4/24,2021/12/28,二讀,0,1,1,0,張廖萬堅,陳亭妃,趙正宇,江永昌,蔡適應,張宏陸,林宜瑾,,,,,,,,,,,,,,,高嘉瑜,蘇巧慧,賴惠員,湯蕙禎,王美惠,余天,林楚茵,莊競程,吳琪銘,賴品妤,李昆澤,賴瑞隆,黃秀芳,陳歐珀,林淑芬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公立學校教職員退休資遣撫卹條例第三十四條條文修正草案,本院委員張廖萬堅、陳亭妃、趙正宇、江永昌、蔡適應、張宏陸、林宜瑾等 22 人，鑑於民國一零六年推動年金改革制定本條例時，其中有關教師舊制年資補償金出現於一零八年六月三十日前退休者得一次領取、七月一日後退休者則無法領取的不一致情況；而與教師年資補償金具有同樣背景脈絡之軍人補償金，在一零七年推動之軍人年金改革則保留其補償金領取之規定，遂產生同一制度卻有軍公教、在職已退者不一致之規範，實有違公平推動年金改革之精神。爰提出「公立學校教職員退休資遣撫卹條例」第三十四條條文修正草案。是否有當？敬請公決。
591,1,教保服務人員條例增訂第二十八條之一及第三十三條之一條文草案,2020/4/24,2022/5/31,三讀,1,1,1,0,張廖萬堅,,,,,,,,,,,,,,,,,,,,,陳柏惟,林宜瑾,劉世芳,莊競程,邱志偉,伍麗華,趙天麟,陳素月,羅致政,吳秉叡,邱泰源,楊曜,劉櫂豪,林淑芬,沈發惠,吳思瑤,賴瑞隆,陳秀寳,吳玉琴,何欣純,江永昌,吳琪銘,林楚茵,洪申翰,賴品妤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,教保服務人員條例增訂第二十八條之一及第三十三條之一條文草案,本院委員張廖萬堅等 26 人，鑑於幼兒園體罰事件頻傳，雖於《教師法》、《幼兒教育及照顧法》及《兒童及少年福利與權益保障法》有相關規定，然其規範仍不完備，導致幼兒園教保服務人員若有體罰、不當管教等相關情事，教育局無法開罰，顯法規有待補強。為保障幼兒於幼兒園時之身心健康發展，不受教保服務人員不當對待，爰提出「教保服務人員條例」增訂第二十八條之一及第三十三條之一條文草案。是否有當？敬請公決。
754,1,高級中等教育法第五十四條及第五十四條之一條文修正草案,2020/5/8,2021/5/11,三讀,1,1,1,0,林宜瑾,吳思瑤,,,,,,,,,,,,,,,,,,,,林楚茵,陳秀寳,鍾佳濱,蔡易餘,林俊憲,黃國書,范雲,伍麗華,賴品妤,許智傑,吳玉琴,王美惠,高嘉瑜,賴瑞隆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高級中等教育法第五十四條及第五十四條之一條文修正草案,本院委員林宜瑾、吳思瑤等 16 人，有鑑於司法院大法官會議釋字 784 號解釋：「各級學校學生認其權利因學校之教育或管理等公權力措施而遭受侵害時，即使非屬退學或類此之處分，亦得按相關措施之性質，依法提起相應之行政爭訟程序以為救濟，無特別限制之必要。」。已賦予各級學校學生完整之訴訟權，有必要就行政訴訟之前置程序予以完備。查現行「高級中等教育法」第五十四條，尚未就再申訴制度、申訴決定與訴願之關係等設有明文。考量學校性質之特殊性，爰參考「教師法」所定之教師申訴制度，對於學生不服申訴決定者，可提起再申訴，爰增設再申訴制度；而不服再申訴決定者，可提起行政訴訟；於學校行政處分時，再申訴決定視同訴願決定，並同時釐清申訴制度與訴願之關係。惟申訴、再申訴如不當使用，則恐有申訴時間或程序過長，無法提供申訴人及時救助，導致與相關行政人員之對立，耗費時間而僅解決枝節問題等負面效果。因此，宜明確規定各校及上級主管機關訂定申訴或再申訴相關辦法時，應遵守之程序保障基本原則，且法律專業人士須占申訴、再申訴評議委員會二分之一以上席次，以確保學生之權益。基於前述理由，爰提出「高級中等教育法」第五十四條及第五十四條之一條文修正草案。是否有當？敬請公決。
755,1,國民教育法第二十條之一條文修正草案,2020/5/8,2022/4/11,委員會審竣,0,1,1,0,林宜瑾,吳思瑤,,,,,,,,,,,,,,,,,,,,蔡易餘,林俊憲,范雲,林楚茵,賴品妤,陳秀寳,黃國書,伍麗華,鍾佳濱,高嘉瑜,吳玉琴,王美惠,許智傑,邱顯智,賴瑞隆,吳琪銘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,國民教育法第二十條之一條文修正草案,本院委員林宜瑾、吳思瑤等 18 人，有鑑於司法院大法官會議釋字 784 號解釋：「各級學校學生認其權利因學校之教育或管理等公權力措施而遭受侵害時，即使非屬退學或類此之處分，亦得按相關措施之性質，依法提起相應之行政爭訟程序以為救濟，無特別限制之必要。」。已賦予各級學校學生完整之訴訟權，有必要就行政訴訟之前置程序予以完備。查現行「國民教育法」第二十條之一，雖已有國民教育階段學生之申訴、再申訴制度，唯再申訴決定之法律性質為何？不服再申訴決定之救濟程序為何？與訴願之關係為何？均無明文規定。考量學校性質之特殊性，爰參考「教師法」所定之教師申訴制度，對於學生不服再申訴決定者，可提起行政訴訟；於學校行政處分時，再申訴決定視同訴願決定，並同時釐清申訴制度與訴願之關係。惟申訴、再申訴如不當使用，則恐有申訴時間或程序過長，無法提供申訴人及時救助，導致與相關行政人員之對立，耗費時間而僅解決枝節問題等負面效果。因此，宜明確規定各校及上級主管機關訂定申訴或再申訴相關辦法時，應遵守之程序保障基本原則，且法律專業人士須佔申訴、再申訴評議委員會二分之一以上席次，以確保學生之權益。基於前述理由，爰提出「國民教育法」第二十條之一條文修正草案。是否有當？敬請公決。
781,1,大學法第十五條條文修正草案,2020/5/8,2022/5/19,委員會審竣,0,1,1,1,高虹安,邱臣遠,蔡壁如,賴香伶,張其祿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大學法第十五條條文修正草案,本院民眾黨黨團，有鑑於學校為培養人格及進入社會化過程中不可或缺的民主場域，透過學生代表參與校園自治、在校務會議中表達相關意見及進行政策討論，能讓校務會議更加公開透明，並使校園教師、職員、其他代表等，更積極討論校園政策，以落實校園民主、校園自治精神，並帶動大學整體發展。爰擬具「大學法第十五條條文修正草案」，將校務會議學生代表從十分之一，提升至五分之一，以提升校園自治精神。是否有當？敬請公決。
929,1,幼兒教育及照顧法第二十四條及第二十五條條文修正草案,2020/5/29,2022/5/31,三讀,1,1,1,0,湯蕙禎,,,,,,,,,,,,,,,,,,,,,王美惠,黃世杰,余天,賴惠員,羅美玲,伍麗華,何志偉,黃秀芳,莊競程,吳玉琴,沈發惠,張廖萬堅,江永昌,鄭運鵬,劉建國,林岱樺,蔡適應,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幼兒教育及照顧法第二十四條及第二十五條條文修正草案,本院委員湯蕙禎等 18 人，鑑於現行幼兒教育及照顧法中，對於曾對幼兒犯有遺棄、拐騙、綁架、買賣等情事者擔任我國教保服務機構之負責人，或財團法人幼兒園之董事或監察人，並無資格限制；為加強保護幼兒，爰提案修正「幼兒教育及照顧法」第二十四條及第二十五條條文。若曾有對幼兒犯危害性活動等罪行遭法院判刑確定或通緝有案尚未結案者，不得擔任教保服務機構之負責人，或財團法人幼兒園之董事或監察人，以加強保護幼兒安全。第二十五條同時納入「教保服務人員」（提供教保服務之園長、教師、教保員及助理教保員）。是否有當？敬請公決。
972,1,高級中等教育法第三十二條條文修正草案,2020/5/29,2021/5/11,三讀,1,1,1,0,邱志偉,林宜瑾,李昆澤,蘇震清,許智傑,何志偉,,,,,,,,,,,,,,,,劉建國,賴惠員,陳秀寳,沈發惠,何欣純,蔡易餘,林岱樺,莊瑞雄,吳玉琴,趙正宇,周春米,江永昌,林俊憲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高級中等教育法第三十二條條文修正草案,本院委員邱志偉、林宜瑾、李昆澤、蘇震清、許智傑、何志偉等 19 人，鑒於現行高級中等教育法第三十二條僅規範「公立」高級中等學校教師之每週授課節數，其未涵括私立學校教師。參照教師待遇條例第五條之規定，依法取得教師資格及編制內之專任教師，不論其受聘於公立學校或已立案之私立學校者，皆受教師待遇條例之規範。是以，任教於私立學校之教師，恐因學校之安排，提高教師之每週授課鐘點，減少學校教師足夠員額之聘任，現況任教於私立學校之教師，甚或有每週授課時數高達二十六節之情況。此非但漠視教師之勞動條件，更可謂影響學生受教權益至鉅。為導正私立學校對學校教師每週授課節數之規範能同公立學校教師，爰提出「高級中等教育法第三十二條條文修正草案」。是否有當？敬請公決。 
