ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
74,1,農民健康保險條例第七條條文修正草案,2020/3/3,2021/12/7,三讀,1,1,1,0,蔡易餘,蘇治芬,黃世杰,黃國書,何志偉,,,,,,,,,,,,,,,,,賴惠員 ,羅致政 ,趙正宇,余天,林楚茵,陳素月,羅美玲 ,吳玉琴,陳瑩,邱志偉,江永昌,王美惠,郭國文,賴品妤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"農民健康保險, 農民, 健康, 保險, 農民健康, 健康保險",本院委員蔡易餘、蘇治芬、黃世杰、黃國書、何志偉等 19 人，為因應政府推動公共建設所需，並保障私人財產，土地徵收條例有法律規範，但土地徵收後，將影響農民健康保險之被保險人資格，有鑑於農保的資格無法存續，爰提出「農民健康保險條例第七條條文修正草案」。是否有當？敬請公決。
209,1,農民健康保險條例第二十三條條文修正草案,2020/3/13,2021/12/7,三讀,1,1,1,0,劉建國,黃秀芳, 林宜瑾,,,,,,,,,,,,,,,,,,,楊曜,陳亭妃,洪申翰,趙正宇,羅致政,陳素月,吳玉琴 ,何欣純,陳瑩,趙天麟,林楚茵,鍾佳濱,伍麗華,陳椒華,陳秀寳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"農民健康保險, 農民, 健康, 保險, 農民健康, 健康保險",本院委員劉建國、黃秀芳、林宜瑾等 18 人，鑑於農民保險之給付請求權，消滅時效為二年，不符合行政程序法第一百三十一條規定：「公法上之請求權，於請求權人為行政機關時，除法律有特別規定外，因五年間不行使而消滅；於請求權人為人民時，除法律另有規定外，因十年間不行使而消滅」之規定，亦不同於勞工保險條例第三十條：「領取保險給付之請求權，自得請領之日起，因五年間不行使而消滅」之規定。爰此，特擬具「農民健康保險條例第二十三條條文修正草案」。是否有當？敬請公決。
260,1,農業保險法草案,2020/3/20,2020/5/12,三讀,1,1,1,0,曾銘宗,翁重鈞,楊瓊瓔,吳怡玎,江啟臣,,,,,,,,,,,,,,,,,林為洲,孔文吉,洪孟楷 ,呂玉玲,鄭正鈐,李德維,費鴻泰,鄭麗文,謝衣鳯,魯明哲,吳斯懷,陳超明,許淑華,陳雪生,張育美,廖婉汝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"農業保險, 農業, 保險",本院委員曾銘宗、翁重鈞、楊瓊瓔、吳怡玎、江啟臣等 21 人，鑒於農業經營易受天然災害影響，重大天災經常造成農、林、漁、牧業者嚴重損失，農業統計資料更顯示，國內近二十年平均每年約有一百二十三億元之農業天然災害損失。隨著全球暖化氣候變遷日趨嚴重，為協助農、林、漁、牧業者分散農業經營風險，並使政府相關救助支出及農民收益趨於穩定，俾利農業永續經營，爰提出「農業保險法」草案。是否有當？敬請公決。
298,1,農民健康保險條例第二十三條條文修正草案,2020/3/20,2021/12/7,三讀,1,1,1,0,謝衣鳯,林文瑞,楊瓊瓔,,,,,,,,,,,,,,,,,,,萬美玲,呂玉玲,林德福,孔文吉,翁重鈞,鄭正鈐,吳斯懷,李貴敏,溫玉霞,吳怡玎,魯明哲,廖婉汝,鄭天財,陳超明,曾銘宗,洪孟楷,林思銘,林奕華,許淑華,李德維,陳玉珍,張育美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"農民健康保險, 農民, 健康, 保險, 農民健康, 健康保險",本院委員謝衣鳯、林文瑞、楊瓊瓔等25 人，為保障農民權益，比照勞工保險條例及國民年金法的保險給付請求權的五年，將農民保險給付請求權，從二年延長為五年。爰此，特擬具「農民健康保險條例第二十三條條文修正草案」。是否有當？敬請公決。
314,1,農業保險法草案,2020/3/27,2020/5/12,三讀,1,1,1,0,楊瓊瓔,翁重鈞,鄭天財,,,,,,,,,,,,,,,,,,,廖國棟,孔文吉,張育美,鄭麗文,吳斯懷,李德維,溫玉霞,陳以信,徐志榮,林德福,魯明哲,李貴敏,謝衣鳯,林奕華,林思銘,洪孟楷,吳怡玎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"農業保險, 農業, 保險",本院委員楊瓊瓔、翁重鈞、鄭天財Sra Kacaw等 20人，鑑於農業經營易受天然氣候及市場波動影響，尤其重大天災往往造成農、林、漁、牧業者嚴重損失，依據農業統計資料顯示，臺灣地區近二十年平均每年約有一百二十億元之農業天然災害損失，為確保糧食供需及協助農、林、漁、牧業者分散農業經營風險，並使政府相關救助支出及農民收益趨於穩定，同時兼顧農業發展，爰提出「農業保險法草案」。是否有當？敬請公決。
325,1,農業保險法草案,2020/3/27,2020/5/12,三讀,1,1,1,0,賴惠員,何欣純,,,,,,,,,,,,,,,,,,,,黃秀芳,劉世芳,羅美玲,吳玉琴,江永昌,羅致政,邱議瑩,劉櫂豪,林宜瑾,陳秀寳,黃世杰,高嘉瑜,蔡易餘,鍾佳濱,王美惠,沈發惠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農業保險法草案,本院委員賴惠員、何欣純等 18 人，鑑於農業生產易受天然氣候、疫病及市場波動影響，為分散農民經營風險，使政府相關救助支出及農民收益趨於穩定，爰擬具「農業保險法草案」。是否有當？敬請公決。
378,1,農民退休儲金條例草案,2020/4/7,2020/5/22,三讀,1,1,1,0,郭國文,鍾佳濱,周春米,,,,,,,,,,,,,,,,,,,陳素月,張廖萬堅,林岱樺,賴瑞隆,林楚茵,王美惠,范雲,黃國書,伍麗華,陳亭妃,吳思瑤,莊競程,林宜瑾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農民退休儲金條例草案,本院委員郭國文、鍾佳濱、周春米等 16 人，鑑於社會各職域皆有保障工作者晚年退休生活的年金保險制度，唯獨農民健康保險除老年農民福利津貼的基本保障外，尚無退休儲金的附加保障。為更完善照顧農民退休生活，建構雙層式農民年金制度，爰提案制定「農民退休儲金條例」草案。是否有當？敬請公決。
382,1,農業天然災害保險法草案,2020/4/7,2020/5/12,三讀,1,1,1,0,蘇治芬,莊瑞雄,羅美玲,蔡易餘,,,,,,,,,,,,,,,,,,蘇震清,何志偉,陳明文,林岱樺,林宜瑾,鄭運鵬,陳亭妃,賴惠員,吳玉琴,賴瑞隆,黃秀芳,余天,李昆澤,黃國書,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農業天然災害保險法草案,本院委員蘇治芬、莊瑞雄、羅美玲、蔡易餘等 18 人，鑑於農業生產乃受天然災害影響最大的產業，台灣位居氣候多變之亞熱帶季風區，每年農業生產遭受颱風、水災等天災侵襲，估計損失金額動輒數十億元或百億元以上，1996 年受賀伯颱風重創，農業災害損失金額高達 252 億餘元；2009 年發生之八八水災（莫拉克風災），農業災損金額更攀升至 291 億餘元。按農業發展條例於 1973 年制定時，第三十八條（現為第五十八條）即明定政府應舉辦農業保險，冀能安定農民收入及穩定農村。惟迄今政府尚未建構完善的農業保險制度，行政院農業委員會雖自 1991 年訂定農業天然災害救助辦法，依據天然災害對各縣市造成之農業損失嚴重程度，公告救助地區、農產品項目、生產設施及救助額度，提供現金救（補）助或低利貸款等措施，確具減輕農民損失與加速恢復農業生產之機能。然近十年（2009年至2018 年）現金救助金額佔農業災害損失金額執行情形，平均每年救助比率僅 26.5%，亦即73.5%災害損失必須由農民自行承擔，故影響農民所得及農村經濟發展至鉅。其次，天然災害造成農林漁牧業產物估計損失，又以農作物損失佔最大宗，平均每年損失金額達 90 億餘元，比重將近七成。綜上，為減輕農民因不確定風險蒙受難以承受之損失，進而穩定農林漁牧業生產與提高所得，爰擬具「農業天然災害保險法草案」，俾建立有效可行之農業災害風險管理機制。是否有當？敬請公決。
405,1,農民退休儲金條例草案,2020/4/7,2020/5/12,三讀,1,1,1,0,陳亭妃,陳歐珀,蘇震清,,,,,,,,,,,,,,,,,,,鍾佳濱,吳秉叡,沈發惠,黃世杰,王美惠,羅致政,管碧玲,何志偉,江永昌,趙正宇,莊競程,黃秀芳,劉建國,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農民退休儲金條例草案,本院委員陳亭妃、陳歐珀、蘇震清等 16 人，鑑於當前我國軍公教人員及勞工已有軍人保險、公教人員保險及勞工保險的老年給付，亦有可支領退休金之制度，惟農民所參加之農民健康保險欠缺老年給付，亦無職業退休金制度，農民老年生活保障尚有不足。按全國農業會議總結論，建議政府應整合農民健康保險、老年農民福利津貼與其他社會保險，並以老年農民福利津貼為基礎，在不排擠其他族群及影響農民權益下，建立農民年金制度，以照顧農民退休安養生活。其次，為維護國家糧食安全，應健全農民社會安全制度，以提高農民年老後之經濟生活保障，鼓勵年輕人投入農業生產，並促使老年農民安心退休離農，以活絡農地利用，促進農業人口年輕化、擴大農場經營規模及提升農業競爭力。是以，在既有老農津貼之基本保障基礎上，對於有意願儲蓄退休儲金之農民，政府有照顧其退休生活之義務，故乃參考勞工退休金及私校教職員工退撫等制度，建構農民退休金制度，以保障農民年老後能與其他行業一樣享有適當的生活水準，而該退休金制度即與老農津貼共同構成農民保護之政策。爰擬具「農民退休儲金條例」草案。是否有當？敬請公決。
411,1,農業保險法草案,2020/4/7,2020/5/12,三讀,1,1,1,0,謝衣鳯,,,,,,,,,,,,,,,,,,,,,李德維,廖婉汝,陳雪生,魯明哲,萬美玲,賴士葆,曾銘宗,鄭正鈐,孔文吉,吳怡玎,吳斯懷,呂玉玲,張育美,林思銘,陳玉珍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,農業保險法草案,本院委員謝衣鳯等 16 人，對於農業是不僅要面對颱風豪雨等天災造成產量減損的風險，同時也要擔心進口或產銷失衡造成價格下跌的風險，加上氣候變遷與經貿自由化，這些風險都導致農民收入難以穩定。而目前農委會的現金救助只限於天然災害造成的農損，為穩定農民收入，兼顧農業發展，爰提出「農業保險法草案」。是否有當？敬請公決。
