ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,提案人22,提案人23,提案人24,提案人25,提案人26,提案人27,提案人28,提案人29,提案人30,提案人31,提案人32,提案人33,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
8,1,勞工保險條例部分條文修正草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,李復興,徐少萍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔡正元,許舒博,章仁香,王昱婷,楊麗環,黃德福,紀國棟,林建榮,劉銓忠,白添枝,曹爾忠,劉盛良,朱鳳芝,吳英毅,江連福,孔文吉,葉芳雄,張慶忠,陳秀卿,伍錦霖,吳光訓,吳敦義,丁守中,羅世雄,吳志揚,廖國棟,鍾紹和,黃敏惠,廖婉汝,侯彩鳳,楊瓊瓔,林益世,黃健庭,張昌財,蘇起,曹壽民,李全教,劉政鴻,林正峰,吳松柏,謝文政,趙良燕,吳成典,蔡家福,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順、李復興、徐少萍等47人,為減輕勞僱雙方
保險負擔,配合分項保險,提高各項現金給付標準,以符合
社會期望,對勞工保險條例部分條文提出修訂如附件,是
否有當,敬請公決。"
9,1,勞資爭議處理法部分條文修正草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,李復興,廖婉汝,黃敏惠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔡正元,許舒博,廖婉汝,徐少萍,章仁香,王昱婷,楊麗環,黃德福,紀國棟,白添枝,廖國棟,羅世雄,將顏福,吳光訓,吳英毅,劉盛良,吳敦義,曹爾忠,朱鳳芝,孔文吉,葉芳雄,鍾紹和,吳志揚,陳秀卿,張慶忠,伍錦霖,張昌財,李全教,謝文政,劉政鴻,林正峰,蘇起,吳松柏,黃健庭,曹壽民,侯彩鳳,林益世,楊瓊瓔,趙良燕,徐耀昌,,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順、李復興、廖婉汝、黃敏惠等44人,鑑於勞
資爭議事件益增,社會成本增加且勞工權益受損,現行勞資
爭議處理制度不符實務需求,爱提出「勞資爭議處理法部分
條文修正草案」。是否有當,敬請公決。"
11,1,公營事業移轉民營條例第五條及第八條條文修正草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,徐少萍,章仁香,王昱婷,楊麗環,黃德福,紀國棟,劉銓忠,白添枝,葉芳雄,張慶忠,吳敦義,吳光訓,羅世雄,陳秀卿,許舒博,林建榮,楊瓊瓔,江連福,廖婉汝,張昌財,李全教,侯彩鳳,黃敏惠,黃健庭,林益世,劉政鴻,林正峰,吳松柏,謝文政,吳志揚,吳英毅,曹爾忠,孔文吉,劉盛良,朱鳳芝,李復興,蔡正元,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃昭順等38人,為推動公營事業永續經營,避免民
營化後勞動條件減損及各項福利不明確,建議公營事業移轉
民營後之勞動條件應於民營前六個月公告,以保障勞工工作
權,勞資和諧共創雙贏,爱擬具修訂「公營事業移轉民營條
例第五條、第八條條文修正草案」,俾利員工依據「公營事
業移轉民營條例」第五條、第八條條文選擇去留。移轉民營
後之勞動條件透明,有助於保障勞工權益,創造雙贏。是否
有當,敬請公決。"
20,1,農漁村老舊房舍更新條例草案,2005/3/4,2007/12/14,交付審查,0,0,0,0,王幸男,余政道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔡啟芳,陳朝容,李俊毅,蔡英文,尤清,莊碩漢,鄭朝明,王拓,江昭儀,謝明源,王世堅,鄭國忠,王榮璋,鄭運鵬,郭俊銘,邱創進,林岱樺,廖本煙,郭正亮,林進興,王淑慧,賴清德,黃政哲,徐國勇,邱永仁,杜文卿,藍美津,蕭美琴,唐碧娥,蔡同榮,陳明真,林崇莫,徐志明,李鎮楠,李文忠,盧博基,李明憲,彭添富,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員王幸男、余政道等40人,針對國家長期以來對於國
民住宅政策之規劃與推動,區域上偏重於都會地區、對象上
偏重於軍公教與勞工,對於一直堅守初級產業、貢獻台灣經
濟良多的農漁民,缺乏住宅房舍更新之協助與規劃,似未就
福利資源為妥善分配,忽視農漁民與一般國民間平等關係,
與憲法第七條平等原則之規範意旨有違。本席等認為,政府
應斟酌農漁民之財力、收入、家計負擔及須照顧之必要性,
依實際狀況並配合農漁村生活圈規劃及建設之需要,針對個
別或聚落之農漁村房舍已經老舊而有更新必要者予以適當補
助,以有效規範及引導整體農漁村發展,建設人文、產業、
自然生態及地區特色兼備之農村生活圈,特提出制定農漁村
老舊房舍更新條例草案,是否有當,敬請公決。"
66,1,勞動基準法第五十條條文修正草案,2005/3/18,2005/3/18,交付審查,0,0,0,0,黃宗源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,謝欣霓,郭榮宗,郭玟成,曾燦燈,何敏豪,郭林勇,劉寬平,盧博基,侯水盛,廖本煙,賴幸媛,黃政哲,尹伶瑛,蔡英文,黃偉哲,羅志明,陳銀河,黃適卓,高建智,李鎮楠,陳憲中,張花冠,魏明谷,蔡其昌,藍美津,林樹山,江昭儀,林岱樺,陳景峻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃宗源等 31人,有鑒勞動基準法第五十條有關婦女
產假及工資之規定,常致使國內部分企業不願意僱用或藉故
資遣懷孕婦女,為有效落實本條保障懷孕女工之規定,爱此
,特擬具「勞動基準法第五十條修正條文草案」,新增第三
項,明定產假工資應由投保單位所負擔勞工保險 70%保險費
中得抵充之規定。是否有當,請公決案。"
86,1,所得稅法第十七條條文修正草案,2005/3/18,2006/5/26,三讀,1,1,1,0,羅志明,何敏豪,黃適卓,謝國樑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,賴幸媛,曾燦燈,尹伶瑛,顏文章,黃宗源,藍美津,黃偉哲,高建智,林樹山,王拓,章仁香,廖本煙,陳銀河,郭林勇,林郁方,趙良燕,林過慶,湯火聖,林重謨,蔡煌瑯,王淑慧,黃昭輝,盧天麟,陳瑩,曹來旺,卓伯源,蔡其昌,李昆澤,沈哪會,趙永清,羅明才,陳景峻,徐中雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員羅志明、何敏豪、黃適卓、謝國樑等 37人,針對目
前所得稅法中,對於保險費用僅能扣除二萬四千元,且包含
勞工保險、軍、公、教保險及全民健康保險費用,與社會的
實際狀況脫節,明顯對民眾不公。爱提出「所得稅法第十七
條條文修正草案」。是否有當,敬請公決。"
104,1,就業服務法第五十五條條文修正草案,2005/3/25,2007/5/4,三讀,1,1,1,0,李鎮楠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃宗源,林益世,鄭運鵬,張碩文,林正峰,黃偉哲,蔡其昌,黃昭輝,曹來旺,李鴻鈞,尹伶瑛,盧天麟,高思博,李永萍,賴幸媛,高建智,李昆澤,鍾紹和,陳景峻,林國慶,顏文章,廖本煙,蔡英文,郭正亮,郭玟成,吳秉叡,湯火聖,邱永仁,劉盛良,謝明源,楊宗哲,顧崇廉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員李鎮楠等 38人,為符合法律授權明確性原則,關於 人民之權利、義務者應以法律明訂之,擬建議增訂就業安定 費之收取方式,應顧及各行業別之特殊差異,以期符合使用 者付費之精神,使其負擔更趨公平;另為避免就業安定基金 淪為部會「私房錢」,或是挪為他用,故擬修法提升「就業 安定基金管理委員會」之法律位階,建議增列民間勞工團體 及雇主代表之比例原則;並要求主管機關定期上網公告,將 基金運用情形予以透明化,以落實監督管理之責。爱提出「 就業服務法第五十五條條文修正案」。是否有當,敬請公 決。"
132,1,兩性工作平等法第十四條條文修正草案,2005/3/25,2007/12/19,三讀,1,1,1,0,沈智慧,柯淑敏,盧秀燕,蔡家福,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,林進興,周守訓,蘇起,邱創進,費鴻泰,伍錦霖,翁重鈞,林建榮,郭素春,黃敏惠,謝國樑,劉政鴻,蔡勝佳,林正二,呂學樟,林郁方,陳根德,黃義交,李嘉進,羅志明,林春德,陳銀河,陳秀卿,徐耀昌,王昱婷,楊仁福,邱毅,曾燦燈,趙良燕,吳成典,孫大千,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員沈智慧、柯淑敏、盧秀燕、蔡家福等 36人,針對兩 性工作平等法第十四條規定女性受僱者生理假應併入病假計 算乙事,無疑抹煞本法納入女性勞工生理假之良法美意。爱 此,特提「兩性工作平等法」第十四條條文修正草案。是否 有當,請公決案。"
168,1,工廠管理輔導法部分條文修正草案,2005/4/1,2007/12/21,二讀,0,1,1,0,陳朝容,徐耀昌,杜文卿,楊瓊瓔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,林春德,許舒博,劉政鴻,廖婉汝,鄭金玲,李嘉進,黃敏惠,羅明才,蔡錦隆,李全教,張慶忠,王昱婷,彭紹瑾,黃昭順,陳憲中,朱鳳芝,吳秉叡,吳清池,吳成典,呂學樟,黃志雄,徐少萍,紀國棟,吳敦義,卓伯源,劉銓忠,羅志明,趙良燕,郭正亮,楊仁福,林正二,林滄敏,鍾紹和,陳根德,陳志彬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員陳朝容、徐耀昌、杜文卿、楊瓊櫻等 39人,鑑於台 灣地區未登記工廠的問題存在已久,且依經濟部工業局的統 計資料至民國九十四年一月為止,全國各地區未依工廠管理 輔導法合法登記的工廠有七千七百零四家。若以每家月產值 一百萬元計,則其年產值約達九百億元,每家工廠的員工若 以十人計算,所創造的就業機會約達七萬七千人。目前全台 各地未登記工廠的分布情形,分別集中於台北縣約二千七百 家、桃園縣約八百家、台中縣約七百家、彰化縣約六百家、 台南縣約六百家及高雄縣約四百家為最多。在目前經濟景氣 不佳的情況下,這些工廠所提供的就業機會,除減輕了不少 中低家庭生計的負擔外,也是各縣市地方政府的重要財源之 一,因為未登記工廠領有事業登記證,就必須繳納營業稅、 貨物稅等,這些都是地方稅收的支柱,若這些工廠因不符合 工廠管理輔導法之規定而全面勒令停業,各縣市政府的財政 也將隨之垮台。在工廠管理輔導法公布施行迄今已有四年, 仍有為數不少的工廠因為法令限制無法取得工廠的合法登記 。為積極輔導現有實際經營之工廠完成登記, 擬透過法規 合理鬆綁,促使現在未登記工廠納入管理以確保地方產業投 資經營環境,同時保障基層勞工就業機會,以避免衍生相關 社會問題。特提出「工廠管理輔導法部分條文修正草案」。 是否有當,敬請公決。"
170,1,農民健康保險條例部分條文修正草案,2005/4/1,2005/5/13,交付審查,0,0,0,0,劉政鴻,鄭金玲,沈智慧,邱鏡淳,盧秀燕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陳志彬,賴幸媛,黃義交,趙良燕,陳憲中,吳清池,林炳坤,彭紹瑾,徐耀昌,林春德,陳杰,鍾紹和,黃偉哲,蔡勝佳,林建榮,王塗發,陳根德,林正二,楊瓊瓔,卓伯源,陳秀卿,黃昭順,黃志雄,蔡錦隆,吳光訓,羅志明,羅世雄,林滄敏,黃敏惠,楊仁福,張昌財,吳志揚,顧崇廉,黃健庭,吳成典,章仁香,江丙坤,劉銓忠,李嘉進,蔡正元,林益世,呂學樟,孔文吉,洪秀柱,蔡豪,,,,,,,,,,,,,,,,,,,"本院委員劉政鴻、鄭金玲、沈智慧、邱鏡淳、盧秀燕、等 50 人,鑑於台灣加入世界貿易組織之後,農產品價格偏低,農 民收支失衡。依據農委會統計資料顯示,農民的平均個人所 得僅及非農家個人所得之百分之六十八,且每戶農家每年農 業所得僅十七萬六千三百九十八元。農家經濟狀況日益惡化 ,且農業人口老化之情況日益嚴重,為保障農民之權益,宜 先未雨綢缪建立老農退休金制度,一則可保障農民退休後之 生活,再者可落實「農業發展條例」第五十九條之規定,鼓 勵老農提前退休。爱擬具「農民健康保險條例」修正草案, 比照「勞工保險條例」精神,以老農保險給付方式給付老農 退休金,是否有當?敬請公決。"
