ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,提案人22,提案人23,提案人24,提案人25,提案人26,提案人27,提案人28,提案人29,提案人30,提案人31,提案人32,提案人33,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
112,1,地方制度法第三十三條及第五十七條條文修正草案,2005/3/25,2005/10/17,委員會審查,0,0,1,1,高金素梅,林炳坤,陳秀惠,顏清標,李和順,張麗善,林春德,廖國棟,陳瑩,林正二,孔文吉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院無黨團結聯盟黨團,鑒於近幾年來山地原住民遷徙至都 會區人口數急濾攀升許多居住於都會區的山地原住民因受限 於制度上的不合時宜,導致山地原住民之權益受到相當的剝 奪,基於人民的權利義務、公平正義原則和原住民族族群融 合特提議修正地方制度法第三十三條及第五十七條修正。"
121,1,原住民敬老福利生活津貼暫行條例第三條及第十條條文修正草案,2005/3/25,2005/5/13,交付審查,0,0,0,0,李全教,楊仁福,盧秀燕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,張麗善,翁重鈞,林建榮,林益世,蔡錦隆,曾永權,柯俊雄,劉盛良,林炳坤,黃昭順,侯彩鳳,黃義交,蔡家福,周守訓,邱鏡淳,羅明才,吳光訓,黃健庭,紀國棟,楊瓊瓔,邱毅,謝國樑,羅世雄,顏清標,鍾紹和,伍錦霖,劉銓忠,吳敦義,劉政鴻,趙良燕,吳成典,吳智雄,林春德,徐耀昌,柯淑敏,呂學樟,陳志彬,李嘉進,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員李全教、楊仁福、盧秀燕等 41人,為現行原住民平 均年收入偏低,且某些特定政黨認為榮民就養金之發放僅照 顧特定族群,致每逢選舉往往成為分裂族群的議題與藉口。 因此為平衡省籍照顧、增進族群融合、落實原住民福利保障 ,並作為國民年金通過前之過渡措施,本席等人特擬具「原 住民敬老福利津貼暫行條例部分條文修正草案」,將現行原 住民敬老津貼提升為一萬元,以符合公平正義平等之原則; 另外,針對受領時不知自己未符合請領資格而領取敬老津貼 者,若其所受之利益已不存在者,免負返還或償還價額之責 任,以保障原住民老人權益。以上所提,是否有當,請公決 案。"
194,1,原住民保留地造林補償條例草案,2005/4/8,2006/1/9,委員會審查,0,0,1,0,曾華德,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,楊仁福,高金素梅,廖國棟,林春德,林正二,孔文吉,李全教,蔡家福,周錫瑋,劉盛良,丁守中,曹爾忠,李顯榮,吳清池,朱俊曉,吳育昇,蔣孝嚴,李復興,黃健庭,王昱婷,徐少萍,周守訓,李紀珠,陳盈,李和順,陳秀惠,陳杰,林益世,洪秀柱,朱鳳芝,陳志彬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員曾華德等 32人,為原住民保留地造林獎勵實施要點 ,係依據全民造林運動綱領第七點所訂定。長久以來原住民 配合國土保安、水質涵養之國家政策,政府卻未立法保障予 以合理補償,實有欠公平。近來臺灣山坡地超限利用,以致 造成土石流威脅百姓生命、財產安全,為求國土保安確實達 成,並落實憲法增修條文保障扶助原住民族經濟土地事業發 展權之精神,同時為彌補原住民配合國家政策犧牲之補償正 義原則,爱擬具「原住民保留地造林補償條例草案」。所提 是否有當?請公決。"
250,1,公職人員選舉罷免法部分條文修正草案,2005/4/22,2005/4/22,交付審查,0,0,0,0,廖國棟,邱鏡淳,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,劉政鴻,李嘉進,李全教,陳根德,李復興,林益世,鄭金玲,黃健庭,吳敦義,孔文吉,黃昭順,廖婉汝,徐中雄,洪秀柱,何智輝,曹壽民,沈智慧,帥化民,林正峰,林建榮,蘇起,張慶忠,徐耀昌,朱鳳芝,呂學樟,王昱婷,蔡正元,林滄敏,黃志雄,楊瓊瓔,楊仁福,周守訓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員廖國棟、邱鏡淳等 34人,為我國憲法已將條文中「 山胞」字樣正名為「原住民」,並積極推動發展原住民族相 關事務,顯示政府對原住民族之重視,然現行公職人員選舉 罷免法第十六、二十五、三十七、三十八之二、四十一、六 十五之一、六十八之一等條文中,仍以「山胞」指稱原住民 ,上述條文明顯有違憲之實,並且有違原住民族之期待,特 擬具公職人員選舉罷免法部分條文修正案,是否有當?敬請 公決。"
259,1,財政收支劃分法增訂第三十一條之一至第三十一條之三條文草案,2005/4/22,2005/4/22,交付審查,0,0,0,0,楊仁福,廖國棟,曾華德,高思博,林正二,,,,,,,,,,,,,,,,,,,,,,,,,,,,,孔文吉,林鴻池,伍錦霖,卓伯源,林建榮,侯彩鳳,流乘涼,潘維剛,張慶忠,葉芳雄,吳清池,徐少萍,葉宜津,朱鳳芝,林春德,劉政鴻,黃志雄,郭素春,趙良燕,陳志彬,顧崇廉,廖婉汝,徐耀昌,李嘉進,吳敦義,黃健庭,陳根德,李復興,林益世,劉文雄,謝國樑,羅明才,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員楊仁福、廖國棟、曾華德、高思博、林正二等 37人 ,有鑑於原住民族及原住民地區長久以來因缺乏穩定經費以 推動建設計劃,致原住民相關計劃完成時程受到延宕,認為 現行財政收支劃分法應予修正並明定中央編列補助款之法源 依據,以促進原住民族整體發展及建設,爱增訂財政收支劃 分法第三十一條之一至第三十一條之三,明定中央應視原住 民族及原住民地區需要,編列補助款以協助原住民族及原住 民地區推動各項計劃及建設,縮短原住民與非原住民間差距 ,是否有當?請公決。"
260,1,行政院原住民族委員會組織條例第十條條文修正草案,2005/4/22,2006/1/13,三讀,1,1,1,0,楊仁福,廖國棟,曾華德,林建榮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,孔文吉,林鴻池,伍錦霖,卓伯源,侯彩鳳,流乘涼,潘維剛,張慶忠,葉芳雄,吳清池,徐少萍,高思博,林春德,林正二,丁守中,帥化民,黃志雄,朱鳳芝,蘇起,郭素春,李全教,趙良燕,劉政鴻,陳志彬,顧崇廉,廖婉汝,徐耀昌,柯淑敏,李嘉進,吳敦義,黃健庭,黃義交,張顯耀,陳秀卿,陳根德,林益世,李復興,劉文雄,謝國樑,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員楊仁福、廖國棟、曾華德、林建榮等 43人,針對台 灣現有原住民族已由九族增加為十二族,惟現行原住民族委 員會委員之設置,依聘用人員聘用條例聘用之委員人數並未 隨之調整,為充分發揮該委員會之功能,爱擬具「行政院原 住民族委員會組織條例」第十條修正案。是否有當?請公決"
306,1,自由貿易港區設置管理條例第十二條條文修正草案,2005/4/29,2007/7/13,二讀,0,1,1,0,吳志揚,劉盛良,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,郭素春,柯淑敏,張慶忠,張碩文,黃志雄,鄭金玲,李嘉進,陳根德,林為洲,邱鏡淳,羅明才,蔡錦隆,葉芳雄,李紀珠,高思博,蔡正元,黃偉哲,莊和子,鄭運鵬,李永萍,曹壽民,郭正亮,謝國樑,林滄敏,劉政鴻,楊宗哲,吳清池,鍾紹和,黃昭順,羅世雄,徐耀昌,林正峰,洪秀柱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員吳志揚、劉盛良等 35人,鑒於自由貿易港區設置管 理條例第12條第2項規定自由港區事業,僱用勞工總人數中 ,應僱用百分之五具有原住民身分之勞工。其立法目的係在 保障、照顧原住民勞工的就業機會,但是全國具有原住民身 分的勞工僅占總勞工人數的1.7%左右,且具有原住民身分者 是否有意願在自由貿易港區內任職,亦不無疑問,因此是否 有足夠之具有原住民身分勞工供給自由港區事業,均屬存疑 。且該規定比現行其他相關法案嚴苛數倍,廠商根本無法遵 守,因此不願進駐自由貿易港區,故現行「自由貿易港區設 置管理條例」第十二條條文有必要予以檢討修正,爱擬具「 自由貿易港區設置管理條例第十二條」條文修正草案,是否 有當?敬請公決。"
307,1,自由貿易港區設置管理條例第十二條條文修正草案,2005/4/29,2005/4/29,退回程序委員會,0,0,0,0,李俊毅,唐碧娥,羅志明,王塗發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃偉哲,徐國勇,黃昭輝,王淑慧,林進興,鄭國忠,郭榮宗,王幸男,郭俊銘,鄭運鵬,謝欣霓,侯水盛,顏文章,王世勛,李鎮楠,林樹山,洪奇昌,王拓,郭玟成,謝明源,蔡其昌,賴幸媛,林岱樺,鄭朝明,魏明谷,邱創進,陳朝龍,潘孟安,陳憲中,吳秉叡,郭正亮,藍美津,邱永仁,彭紹瑾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員李俊毅、唐碧娥、羅志明、王塗發等 39人,為早日 達成全球運籌中心目標,並兼顧對原住民勞工就業之照顧, 現行「自由貿易港區設置管理條例」第十二條條文有必要予 以檢討修正,爱擬具「自由貿易港區設置管理條例第十二條 條文修正草案」,是否有當?請公決。"
331,1,原住民敬老福利生活津貼暫行條例第三條及第十三條條文修正草案,2005/5/6,2005/5/13,交付審查,0,0,0,0,林炳坤,邱鏡淳,高金素梅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,林春德,盧秀燕,洪秀柱,林正二,朱鳳芝,顏清標,黃昭順,林益世,章仁香,楊仁福,伍錦霖,陳秀卿,劉盛良,李全教,陳根德,吳敦義,呂學樟,徐耀昌,翁重鈞,林建榮,劉政鴻,吳清池,蔡豪,陳杰,黃健庭,張麗善,鍾紹和,黃敏惠,楊宗哲,孔文吉,朱俊曉,吳志揚,廖婉汝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員林炳坤、邱鏡淳、高金素梅等 36人,針對臺灣地區 老年人口比例逐年增加,所得分配卻不斷惡化,特別是原住 民族家戶所得未隨國內經濟發展同步成長,使原住民族老年 人口經濟安全問題益形嚴重。因此在國民年金制度尚未訂定 以前,實有必要提高政府對老年原住民族之經濟扶助,作為 過渡時期老人經濟安全制度之前置措施。爱擬具原住民敬老 福利生活津貼暫行條例部分條文修正草案,將現行老年原住 民津貼發放金額由每月三千元提高至每月一萬元;是否有當 ,敬請公決。"
359,1,行政院原住民族委員會組織條例第十條條文修正草案,2005/5/13,2006/1/13,三讀,1,1,1,0,林春德,曾華德,林正二,陳志彬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,林德福,鍾紹和,李慶安,黃義交,李鴻鈞,林惠官,鄭金玲,高思博,蔡勝佳,顧崇廉,呂學樟,徐耀昌,劉文雄,趙良燕,李永萍,孔文吉,廖國棟,陳瑩,陳秀惠,林郁方,謝國樑,柯淑敏,沈智慧,邱毅,傅崐萁,李嘉進,陳根德,蔡豪,林建榮,邱鏡淳,翁重鈞,郭素春,黃昭順,吳敦義,朱鳳芝,盧秀燕,蘇起,徐少萍,吳志揚,吳成典,,,,,,,,,,,,,,,,,,,,,,,,"本院委員林春德、曾華德、林正二、陳志彬等 44人,為彰顯 原住民族之主體性,強化民族代表之功能,爱提出「行政院 原住民族委員會組織條例」第十條條文修正案,是否有當? 請公決。"
