ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,提案人22,提案人23,提案人24,提案人25,提案人26,提案人27,提案人28,提案人29,提案人30,提案人31,提案人32,提案人33,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
3,1,退伍軍人福利法草案,2005/3/4,2005/5/31,復議,0,0,0,0,黃昭順,李復興,黃敏惠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,徐少萍,章仁香,許舒博,紀國棟,林建榮,王昱婷,楊麗環,黃德福,劉銓忠,白添枝,朱鳳芝,劉盛良,吳志揚,鍾紹和,羅世雄,吳英毅,曹爾忠,江連福,廖國棟,孔文吉,葉芳雄,張慶忠,陳秀卿,伍錦霖,吳光訓,吳敦義,楊瓊瓔,黃健庭,張昌財,林益世,侯彩鳳,李全教,劉政鴻,蘇起,林正峰,吳松柏,謝文政,趙良燕,林炳坤,蔡家福,吳成典,,,,,,,,,,,,,,,,,,,,,,,":本院委員黃昭順、李復興、黃敏惠等45人,為維護退伍軍人
應有之尊嚴和福祉,特制訂「退伍軍人福利法」草案,以促
進社會安定,增強國軍戰力。是否有當,敬請公決。"
1002,3,國軍老舊眷村改建條例部分條文修正草案,2006/4/7,2007/11/21,三讀,1,1,1,0,朱鳳芝,李文忠,李鴻鈞,洪秀柱,鄭金玲,吳志揚,楊瓊瓔,李紀珠,朱俊曉,林建榮,蔡家福,高思博,黃健庭,陳杰,彭添富,蔡其昌,湯火聖,何敏豪,陳明真,郭榮宗,丁守中,,,,,,,,,,,,,江義雄,吳成典,李永萍,劉銓忠,林德福,李復興,黃志雄,費鴻泰,黃昭順,王昱婷,周守訓,帥化民,邱鏡淳,羅明才,侯彩鳳,吳育昇,蔡正元,沈發惠,陳志彬,孔文吉,吳敦義,鍾紹和,陳銀河,林淑芬,林進興,黃偉哲,鄭運鵬,林為洲,盧天麟,陳瑩,王淑慧,潘孟安,顏文章,林岱樺,王世堅,田秋堇,林國慶,陳憲中,林郁方,趙良燕,廖婉汝,蘇起,柯淑敏,傅崐萁,楊仁福,林正二,孫大千,,,,,,,,,,,,,,,,,"本院委員朱鳳芝、李文忠、李鴻鈞、洪秀柱、鄭金玲、吳志 揚、楊瓊要、李紀珠、朱俊曉、林建榮、蔡家福、高思博、 黃健庭、陳杰、彭添富、蔡其昌、湯火聖、何敏豪、陳明真 、郭榮宗、丁守中等68 人,有鑑於「眷村文化」與其他文化 同屬台灣重要的文化泉源,也是台灣珍貴的文化資產,但隨 著國軍老舊眷村改建的進程,特屬於眷村的文化也將隨之消 散。爱此,特提案修正「國軍老舊眷村改建條例」部分條文 ,是否有當,敬請公決!"
355,1,陸海空軍軍官士官任官條例第八條條文修正草案,2005/5/13,2006/5/17,委員會審查,0,0,1,0,朱鳳芝,李紀珠,盧秀燕,鄭金玲,張顯耀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陳杰,曾永權,吳敦義,蘭倩,林建榮,呂學樟,李永萍,章仁香,黃志雄,林郁方,李嘉進,黃昭順,潘維剛,林鴻池,陳進丁,柯俊雄,劉政鴻,陳志彬,李敖,江丙坤,張碩文,林正二,紀國棟,趙良燕,蔣孝嚴,廖婉汝,黃義交,楊瓊瓔,李慶安,朱俊曉,吳育昇,侯彩鳳,王金平,顏清標,劉盛良,周錫瑋,周守訓,吳志揚,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員朱鳳芝、李紀珠、盧秀燕、鄭金玲、張顯耀等 43 人 ,針對國軍軍官、士官在民國 88年(含)前依「陸海空軍軍官 士官任職條例」派任上階職務,並符合「陸海空軍軍官士官 任官條例」晉升條件,卻未在任內晉升,被迫限齡退伍,對 於官、士權益、榮譽傷害至鉅。國防部曾多次鄭重表示:「 一有法源,立即補晉平反」。 擬具「陸海空軍軍官士官任 官條例第八條修正案」於現行條文中增列第二項:「軍官、 士官占缺而未晉升者(含本條修正前)不受除役限制,於本 法修正公布之日起,五年內向國防部申請,按當時法律補辦 晉任,改支新晉官階生效日期起之退休給與,不溯既往」。 是否有當,敬請公決!"
288,1,國軍老舊眷村改建條例第二十八條條文修正草案,2005/4/29,2007/1/8,委員會審查,0,0,1,0,朱鳳芝,洪秀柱,王昱婷,楊瓊瓔,吳志揚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,曹爾忠,張昌財,流乘涼,林建榮,謝文政,陳秀卿,李永萍,吳英毅,楊仁福,廖婉汝,紀國棟,吳松柏,林鴻池,林益世,柯俊雄,陳志彬,李全教,郭素春,劉政鴻,黃志雄,楊麗環,羅明才,吳敦義,趙良燕,徐少萍,何智輝,林正二,陳根德,章仁香,黃昭順,黃健庭,林正峰,高思博,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員朱鳳芝、洪秀柱、王昱婷、楊瓊櫻、吳志揚等 38 人 ,針對眷村改建有「新制」與「舊制」的分別,適用舊制的 原地改建原眷戶比適用新制的遷購戶多出許多的負擔,卻不 能如新制遷購戶般享有「坪數差額補助」及「房價優惠」等 雙重優待,造成同一改建眷村國宅中,卻有「一屋二價、一 國兩制」的不公平現象,也讓新舊制眷戶彼此間產生嫌隙, 影響人民感情。因此,在不損害新制眷戶已享有的權益的前 提下,並匡正新舊制差異不公平的現象,特提案修正「國軍 老舊眷村改建條例」第二十八條,是否有當,敬請公決!"
292,1,八二三戰役參戰官兵晚年生活照顧特別條例草案,2005/4/29,2007/6/6,委員會審查,0,0,1,0,朱鳳芝,洪秀柱,張慶忠,徐少萍,楊瓊瓔,林建榮,,,,,,,,,,,,,,,,,,,,,,,,,,,,郭素春,黃志雄,楊麗環,劉政鴻,吳英毅,林益世,張昌財,吳松柏,劉盛良,謝文政,曹爾忠,黃健庭,廖婉汝,費鴻泰,陳志彬,潘維剛,李全教,王昱婷,羅明才,柯俊雄,吳敦義,蘇起,趙良燕,林德福,吳清池,黃昭順,何智輝,林正二,章仁香,卓伯源,帥化民,高思博,吳志揚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員朱鳳芝、洪秀柱、張慶忠、徐少萍、楊瓊櫻、林建 榮等39人,針對中央政府播遷來台後,中共武力犯台的威脅 始終持續不斷,企圖以軍事手段兼併台澎金馬,尤其是古寧 頭戰役及八二三砲戰,幸賴國軍的犧牲奉獻,遏阻了共軍的 侵犯,而得以維繫台海的和平。民國四十七年間為保衛台海 安全而參與八二三戰役參戰之官兵,未能獲得國家對其晚年 生活之照護。為表彰其貢獻,並彌補現行「國軍退除役官兵 輔導條例」之不足,特擬具「八二三戰役參戰官兵晚年生活 照顧特別條例」草案,期使對其本人及眷屬晚年生活之就養 、就醫、就學給予特別照顧。是否有當?敬請公決。"
296,1,中華民國敵後受難歸來國軍官兵處理及補償條例草案,2005/4/29,2005/5/13,交付審查,0,0,0,0,朱鳳芝,洪秀柱,盧秀燕,李紀珠,劉盛良,,,,,,,,,,,,,,,,,,,,,,,,,,,,,郭素春,章仁香,楊麗環,紀國棟,廖婉汝,陳志彬,潘維剛,王昱婷,羅明才,林正二,蘇起,吳敦義,林益世,趙良燕,林德福,楊仁福,吳清池,徐少萍,陳根德,楊瓊瓔,劉政鴻,黃志雄,何智輝,林正峰,黃健庭,黃昭順,張慶忠,林滄敏,卓伯源,伍錦霖,柯俊雄,李嘉進,林建榮,吳志揚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員朱鳳芝、洪秀柱、盧秀燕、李紀珠、劉盛良等 40人 ,有鑑於台灣光復初期,政府派遣駐台國軍赴大陸戳亂,台 籍官兵隨軍赴大陸與共軍作戰;民國三十八年,政府遷台後 ,派遣大批情報人員深入敵後,蒐集情報;此外,並派遣國 軍官兵赴大陸沿海地區登陸與共軍作戰。劫後餘生歸台者, 絕大部分在中國大陸飽受中共政權長期管制、勞改、勞教、 內控,遭受極大之身心摧殘。不少人遭受家破人亡、妻離子 散,如今返回台灣卻已白髮蒼蒼行將就木之人,政府卻以國 防部制定之「國軍在台期間作戰被俘(難)歸來人員處理作 業要點」、「台灣光復初期隨國軍赴大陸作戰人員撫慰金發 放辦法」、「三軍官兵薪齣發放方法」以及「陸海空軍軍士 官任用條例」等不適用之法令應急搪塞,未能依據實情,依 法、修法或立法來澈底解決敵後受難返台國軍官兵權益。有 鑑於此,故提出「中華民國敵後受難歸來國軍官兵處理及補 償條例」草案,以保障台籍老兵、在台作戰被俘歸來官兵、 情報人員合理的權益。是否有當,敬請公決。"
420,1,國軍退伍軍人權益法草案,2005/5/20,2005/5/20,交付審查,0,0,0,0,朱鳳芝,洪秀柱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伍錦霖,吳松柏,費鴻泰,劉政鴻,何智輝,李全教,吳英毅,帥化民,徐少萍,黃德福,劉盛良,謝文正,蔡家福,陳秀卿,羅明才,林建榮,黃志雄,曾華德,章仁香,林南生,張昌財,邱毅,柯俊雄,廖國棟,李嘉進,林益世,紀國棟,曹爾忠,郭素春,黃健庭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員朱鳳芝、洪秀柱等 32人,為保障國軍退伍軍人之應 有權益,使其現有之福利法制化,並保障其尊嚴與福祉,特 擬定「國軍退伍軍人權益法草案」。是否有當,敬請公決。"
421,1,臺灣光復初期投效國軍赴大陸作戰臺籍老兵補償條例草案,2005/5/20,2005/5/20,交付審查,0,0,0,0,朱鳳芝,洪秀柱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伍錦霖,吳松柏,費鴻泰,劉政鴻,何智輝,李全教,吳英毅,帥化民,徐少萍,黃德福,劉盛良,謝文正,蔡家福,陳秀卿,羅明才,林建榮,黃志雄,曾華德,章仁香,林南生,張昌財,邱毅,柯俊雄,廖國棟,李嘉進,林益世,紀國棟,曹爾忠,郭素春,黃健庭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員朱鳳芝、洪秀柱等 32人,擬具「台灣光復初期投效 國軍赴大陸作戰台籍老兵補償條例」草案,是否有當,敬請 公決!"
424,1,公務人員考試法第二十三條條文修正草案,2005/5/20,2007/1/5,三讀,1,1,1,0,朱鳳芝,洪秀柱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伍錦霖,劉盛良,張昌財,林南生,吳松柏,謝文政,邱毅,黃健庭,蔡家福,柯俊雄,劉政鴻,陳秀卿,廖國棟,羅明才,何智輝,李嘉進,李全教,林建榮,吳英毅,林益世,紀國棟,帥化民,黃志雄,曾華德,曹爾忠,徐少萍,章仁香,郭素春,黃德福,李永萍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員朱鳳芝、洪秀柱等 32人,鑑於現行「公務人員考試 法」規定自民國88年起,凡參加特種考試退除役軍人轉任公 務人員考試及格人員,以分發國防部、行政院國軍退除役官 兵輔導委員會、行政院海岸巡防署及其所屬機關任用為限, 將「終身」無法轉調任其他行政機關任職,對該項考試及格 分發人員之服公職權利構成不當限制,有違憲之虞。特種考 試及格人員,同樣具備公務人員資格,應允許其自由選擇服 務單位,以符公平原則,惟基於特種考試退除役軍人轉任公 務人員考試科目及錄取人員之能力及性質,於考試及格任用 之前六年,應以分發國防部、行政院國軍退除役官兵輔導委 員會、行政院海岸巡防署及其所屬機關任用為原則,以求適 才適所。若為兼顧渠等考試及格人員服公職權及平等權,則 應比照現行其他考銓法令之規定,修訂前述考試及格人員於 任用六年後,得依各人需求,申請轉調其他行政機關任職, 以符衡平原則。 提出「公務人員考試法第二十三條」修正 案,是否有當,敬請公決。"
423,1,國軍退除役官兵輔導條例增訂第二十三條之一條文草案,2005/5/20,2005/5/20,交付審查,0,0,0,0,朱鳳芝,洪秀柱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伍錦霖,吳松柏,費鴻泰,劉政鴻,何智輝,李全教,吳英毅,帥化民,徐少萍,黃德福,劉盛良,謝文正,蔡家福,陳秀卿,羅明才,林建榮,黃志雄,曾華德,章仁香,林南生,張昌財,邱毅,柯俊雄,廖國棟,李嘉進,林益世,紀國棟,曹爾忠,郭素春,黃健庭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員朱鳳芝、洪秀柱等 32人擬具「國軍退除役官兵輔導 條例第二十三條之一修正案」增列退除役官兵及眷屬自用住 宅水電減免優待條文,以符合行政程序法規定。是否允當? 請公決案!"
