ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,提案人22,提案人23,提案人24,提案人25,提案人26,提案人27,提案人28,提案人29,提案人30,提案人31,提案人32,提案人33,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
139,1,"	學校教職員退休條例第三條條文修正草案",2005/3/25,2007/6/15,三讀,1,1,1,0,洪秀柱,朱鳳芝,盧秀燕,張慶忠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,章仁香,黃德福,帥化民,蘇起,曹爾忠,郭素春,劉盛良,黃健庭,林益世,黃昭順,劉政鴻,王昱婷,鄭金玲,吳志揚,陳杰,徐耀昌,曾永權,林郁方,謝國樑,陳志彬,吳成典,伍錦霖,柯俊雄,李嘉進,孫大千,趙良燕,顧崇廉,黃志雄,周守訓,黃義交,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員洪秀柱、朱鳳芝、盧秀燕、張慶忠等 34人,為匡正 教師退休年資採計,維護人民權利,爱提出學校教職員退休 條例第三條條文修正草案。是否有當?請公決。"
167,1,師資培育法第十一條條文修正草案,2005/4/1,2005/5/27,三讀,1,1,1,0,陳景峻,彭添富,黃偉哲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,郭榮宗,林進興,徐志明,魏明谷,湯火聖,邱創進,蔡煌瑯,賴清德,鄭運鵬,蔡英文,陳重信,吳秉叡,謝欣霓,邱永仁,王淑慧,陳憲中,林岱樺,郭玟成,王榮璋,郭正亮,劉盛良,黃劍輝,蔡其昌,黃淑英,蔡啟芳,鄭朝明,廖本煙,沈發惠,賴幸媛,陳秀惠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員陳景峻、彭添富、黃偉哲等 34人,為現行師資培育 法對於已取得高級中等以下學校及幼稚園合格教師者,於修 畢另一類科師資職前教育課程取得證明書者,仍應參加半年 之全時教育實習課程,施行迄今已形成實務上之困難,不利 於現行合格教師生涯規劃及轉型發展,形同『不鼓勵進修條 款』,為有效解決現職教師參加教育實習之困境,特提案修 正『師資培育法第十一條』。是否有當,請公決案。"
171,1,學校教職員撫卹條例第二條條文修正草案,2005/4/1,2006/1/13,二讀,0,1,1,0,羅志明,何敏豪,黃適卓,曾燦燈,李鎮楠,尹伶瑛,政朝明,,,,,,,,,,,,,,,,,,,,,,,,,,,邱創進,魏明谷,潘孟安,吳清池,王拓,陳朝龍,林正二,黃義交,陳明真,沈發惠,蔡其昌,費鴻泰,黃敏惠,陳進丁,郭榮宗,田秋堇,黃昭輝,黃偉哲,謝欣霓,李鴻鈞,黃劍輝,高建智,李昆澤,黃宗源,廖本煙,郭林勇,林樹山,林淑芬,陳銀河,鄭金玲,王世勛,黃健庭,黃政哲,賴幸媛,劉寬平,陳憲中,楊宗哲,彭紹瑾,謝明源,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員羅志明、何敏豪、黃適卓、曾燦燈、李鎮楠、尹伶 瑛、鄭朝明等46人,為配合行政程序法公布實施後人民權利 義務應以法律規範之規定,將涉及教職員之重要權利及義務 事項提升至本法規範中,保障教職員退休撫邮權益;並增列 採計納編入學校員額前之公立幼稚園教師服務年資。爱提案 學校教職員撫邮條例第二條條文修正草案。是否有當,敬請 公決。"
172,1,學校教職員退休條例第二條條文修正草案,2005/4/1,2006/1/13,二讀,0,1,1,0,羅志明,何敏豪,黃適卓,曾燦燈,李鎮楠,尹伶瑛,,,,,,,,,,,,,,,,,,,,,,,,,,,,邱創進,魏明谷,潘孟安,陳朝龍,王拓,林正二,吳清池,黃義交,陳明真,沈發惠,蔡其昌,費鴻泰,黃敏惠,陳進丁,郭榮宗,田秋堇,黃偉哲,謝欣霓,黃昭輝,李鴻鈞,黃劍輝,高建智,李昆澤,林樹山,陳憲中,陳景峻,郭正亮,林淑芬,黃政哲,黃健庭,廖本煙,鄭金玲,賴幸媛,王世勛,郭林勇,黃宗源,陳銀河,劉寬平,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員羅志明、何敏豪、黃適卓、曾燦燈、李鎮楠、尹伶 瑛等44人,為配合行政程序法公布實施後人民權利義務應以 法律規範之規定,將涉及教職員之重要權利及義務事項提升 至本法規範中,保障教職員退休撫邮權益;並增列採計納編 入學校員額前之公立幼稚園教師服務年資。 提案學校教職 員退休條例第二條條文修正草案。是否有當,敬請公決。"
261,1,教師法增訂第十七條之一條文草案,2005/4/22,2005/4/22,退回程序委員會,0,0,0,0,林岱樺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃偉哲,陳朝龍,郭榮宗,王淑慧,謝明源,李鎮楠,王世堅,張花冠,張川田,高建智,李永萍,王拓,李昆澤,王世勛,蔡其昌,黃淑英,林淑芬,鄭國忠,林為洲,林濁水,彭紹瑾,盧天麟,賴清德,林樹山,魏明谷,沈發惠,洪奇昌,田秋堇,郭俊銘,邱創進,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員林岱樺等 31人擬具「教師法第十七條之一修正草案 」,是否有當,請公決。"
301,1,師資培育法部分條文修正草案,2005/4/29,2005/12/9,三讀,1,1,1,0,彭添富,陳景峻,鄭朝明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陳銀河,陳瑩,謝明源,彭紹瑾,蔡同榮,盧博基,陳憲中,郭玟成,邱永仁,黃偉哲,郭榮宗,蔡英文,陳秀惠,高志鵬,郭正亮,魏明谷,蔡其昌,陳朝龍,陳明真,余政道,鄭運鵬,何敏豪,尤清,江昭儀,李昆澤,黃劍輝,林岱樺,廖本煙,李鎮楠,曹來旺,謝欣霓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員彭添富、陳景峻、鄭朝明等 34人,為現行師資培育 法對於有多年實際任教年資的代理代課老師及技術教師修畢 教育學程後是否需要教育實習及技術教師生涯規劃及轉型發 展,形同『不鼓勵進修條款』,為有效解決代理代課教師及 技術教師參加教育實習之困境,特提案修正『師資培育法第 二十一條』並增訂『師資培育法第二十一條之一』。是否有 當,請公決案。"
377,1,教師法第三十六條條文修正草案,2005/5/13,2005/5/13,交付審查,0,0,0,0,徐耀昌,呂學樟,劉盛良,林建榮,鍾紹和,吳清池,沈智慧,,,,,,,,,,,,,,,,,,,,,,,,,,,費鴻泰,伍錦霖,蔡錦隆,林郁方,陳根德,蔡豪,劉文雄,謝國樑,柯淑敏,黃健庭,林春德,王昱婷,柯俊雄,高思博,林益世,黃義交,趙良燕,張慶忠,孫大千,劉毅淑,吳敦義,翁重鈞,陳杰,林炳坤,林德福,陳志彬,鄭金玲,郭素春,邱毅,羅明才,劉政鴻,林正二,李復興,周守訓,李鴻鈞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員徐耀昌、呂學樟、劉盛良、林建榮、鍾紹和、吳清 池、沈智慧等42人,鑒於「教師法」對幼稚園專任教師之保 障未臻完備,規定未辦理財團法人登記之私立幼稚園專任教 師,其退休、撫恤、離職、資遣及保險等相關權益,屏除在 「教師法」適用之外,甚為不公。為能具體落實憲法保障人 民工作權、財產權之精神,與符合公平正義原則, 提案修 正「教師法」第三十六條。是否有當?敬請公決案。"
401,1,補習及進修教育法第十七條條文修正草案,2005/5/20,2005/5/20,交付審查,0,0,0,0,彭添富,羅志明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔡同榮,邱鏡淳,鄭國忠,黃偉哲,郭榮宗,楊宗哲,鄭朝明,杜文卿,李復興,潘孟安,林耘生,郭玟成,鄭金玲,劉寬平,陳秀惠,謝明源,林樹山,楊仁福,林進興,薛凌,吳志揚,林岱樺,曾燦燈,陳景峻,郭正亮,莊碩漢,藍美津,林正二,蔡豪,王世勛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員彭添富、羅志明等32人,針對九十一年七月修正之 補習及進修教育法第十七條規定「各級國民補習及進修學校 ,置校務主任一人,由原屬學校專任教師兼任...」條文,因立 法語意籠統,易生混淆,致影響部分學校進修部之專任教師 教學空間與權益。為解決上述問題, 擬具補習及進修教育 法部分條文修正草案,是否有當,敬請公決。"
484,2,學校教職員退休條例第三條條文修正草案,2005/9/13,2007/6/15,三讀,1,1,1,0,黃健庭,朱鳳芝,李復興,廖婉汝,林炳坤,林正二,林滄敏,,,,,,,,,,,,,,,,,,,,,,,,,,,黃昭順,周守訓,陳志彬,黃志雄,張慶忠,郭正亮,陳杰,郭素春,江連福,劉盛良,吳成典,盧秀燕,徐少萍,楊仁福,謝國樑,蘇起,孫大千,顏清標,沈智慧,蔡豪,紀國棟,王幸男,吳清池,徐耀昌,鄭金玲,黃義交,楊瓊瓔,吳敦義,楊宗哲,趙良燕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員黃健庭、朱鳳芝、李復興、廖婉汝、林炳坤、林正 二、林滄敏等42人,針對現行學校教職員退休年資之採計方 式,將未取得合格教師前之實缺代理教師年資採計為退休年 資,而兵缺代理教師年資則不予採計,實有達平等原則,為 保障兵缺代理教師權益,爱擬具「學校教職員退休條例第三 條修正案」,將兵缺代理年資納入退休年資計算,是否有當 ,敬請公決。"
558,2,教師法增訂第十七條之一條文草案,2005/9/23,2005/9/23,交付審查,0,0,0,0,王淑慧,藍美津,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,李俊毅,潘孟安,徐志明,管碧玲,林重謨,吳秉叡,黃偉哲,陳朝龍,蔡啟芳,王幸男,陳重信,林進興,余政道,黃昭輝,莊碩漢,郭俊銘,林國慶,邱永仁,鄭運鵬,林淑芬,謝明源,陳憲中,莊和子,李昆澤,蔡同榮,侯水盛,林為洲,張花冠,陳瑩,李鎮楠,郭玟成,徐國勇,高志鵬,吳富貴,謝欣霓,江昭儀,邱創進,高建智,薛凌,張俊雄,,,,,,,,,,,,,,,,,,,,,,,,"本院委員王淑慧、藍美津等 42人,為了大學之教學與研究應 理論與實用兼具,將大學研發成果落實移轉於產業,提升產 業技術水準,帶動經濟發展,政府稅收增加,才能回饋到大 學教學與研究經費,而產生良性循環。政府近十餘年來的努 力,已使我國大學研究設備充實,能力提升,惟學校研究成 果仍偏向於學術論文發表之質與量,而較少落實於產業技術 之提升,因而對我國經濟發展之貢獻仍有成長空間。為鼓勵 大專校院專任教師配合產學合作,放寬兼任行政職務教師之 兼職規定,擬具「教師法增訂第十七條之一草案」,是否有 當,敬請公決。"
