ID,會期,法案,提案時間,結果時間,法案結果,三讀,三讀＋二讀＋委員會審竣,三讀＋二讀＋委員會審查,黨團提案,提案人1,提案人2,提案人3,提案人4,提案人5,提案人6,提案人7,提案人8,提案人9,提案人10,提案人11,提案人12,提案人13,提案人14,提案人15,提案人16,提案人17,提案人18,提案人19,提案人20,提案人21,提案人22,提案人23,提案人24,提案人25,提案人26,提案人27,提案人28,提案人29,提案人30,提案人31,提案人32,提案人33,連署人1,連署人2,連署人3,連署人4,連署人5,連署人6,連署人7,連署人8,連署人9,連署人10,連署人11,連署人12,連署人13,連署人14,連署人15,連署人16,連署人17,連署人18,連署人19,連署人20,連署人21,連署人22,連署人23,連署人24,連署人25,連署人26,連署人27,連署人28,連署人29,連署人30,連署人31,連署人32,連署人33,連署人34,連署人35,連署人36,連署人37,連署人38,連署人39,連署人40,連署人41,連署人42,連署人43,連署人44,連署人45,連署人46,連署人47,連署人48,連署人49,連署人50,連署人51,連署人52,連署人53,連署人54,連署人55,連署人56,連署人57,連署人58,連署人59,連署人60,連署人61,連署人62,關鍵字,關係文書
32,1,水污染防治法第四十條條文修正草案,2005/3/4,2007/11/27,三讀,1,1,1,0,侯水盛,邱永仁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,蔡啟芳,柯建銘,高建智,王淑慧,謝明源,藍美津,江昭儀,林為洲,莊和子,彭紹瑾,陳明真,王塗發,陳重信,黃昭輝,陳憲中,陳瑩,盧天麟,黃淑英,郭玟成,林重謨,張花冠,郭榮宗,曹來旺,顏文章,盧博基,魏明谷,林進興,李昆澤,陳啟昱,黃劍輝,薛凌,王世堅,林樹山,吳富貴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員侯水盛、邱永仁等36人,針對現行「水污染防治法
第四十條」規定之罰緩額度過高且未將工業與畜牧業之放流
水罰則予以區分,造成農民因畜牧放流水罰緩額度過高,陷
入無法生存之困境。特擬具「水污染防治法第四十條修正案
」。本案是否有當?敬請公決。"
54,1,農民基本法草案,2005/3/11,2005/3/11,交付審查,0,0,0,1,羅志明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院台灣團結聯盟立法院黨團,針對農業既為我立國之本,
農民權益保障自不應成為經濟開放政策之犧牲;蓋政府長期
農業政策之失當,導致農業結構老化、農民權益損害及從事
農業活動意願低落等問題,亟待提出改善方案;基此,如何
落實農民權益保障、使農業得永續發展,為目前首要課題。
爱此,特提出「農民基本法草案」。是否有當敬請公決。"
106,1,農民健康保險條例第十九條及第三十六條文修正草案,2005/3/25,2007/12/21,二讀,0,1,1,0,蔡勝佳,徐耀昌,鍾紹和,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃昭順,劉銓忠,何智輝,徐少萍,鄭金玲,郭素春,楊瓊瓔,黃志雄,盧秀燕,柯淑敏,呂學樟,蔡正元,楊仁福,伍錦霖,孫大千,吳清池,陳志彬,謝國樑,林德福,吳敦義,趙良燕,王昱婷,林郁方,黃義交,林春德,邱毅,李永萍,李鴻鈞,陳朝容,馮定國,顧崇廉,沈智慧,白添枝,翁重鈞,李嘉進,蔡錦隆,蘇起,曹壽民,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員蔡勝佳、徐耀昌、鍾紹和等41人,為具體明確規範 農民權益之定義,特擬具「農民健康保險條例第十九條及第 三十六條」條文修正草案,是否有當?敬請公決。"
115,1,農業發展條例第三十四條條文修正草案,2005/3/25,2005/3/25,交付審查,0,0,0,1,陳杰,劉銓忠,劉政鴻,翁重鈞,白添枝,許舒博,黃敏惠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院國民黨黨團,有鑒於現行農業發展條例第三十四條限制 農民團體為確保債權,實施抵押權而取得耕地之規定,不僅 造成拍賣之耕地之荒蕪,更嚴重損及農民團體之合法權益, 為配合農業金融法的實施;爱提案修正「農業發展條例第三 十四條」條文,以排除該條之限制,使農會健全金融得有確 切之保障。是否有當?敬請 公決。"
119,1,老年農民福利津貼暫行條例第四條條文修正草案,2005/3/25,2005/3/25,退回程序委員會,0,0,0,0,唐碧娥,林耘生,盧秀燕,鄭朝明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吳秉叡,尹伶瑛,陳憲中,趙良燕,林育生,林淑芬,林炳坤,林岱樺,曾燦燈,蔡啟芳,侯水盛,羅志明,陳朝龍,郭玟成,湯火聖,林正二,王幸男,謝明源,鄭金玲,王淑慧,陳志彬,郭正亮,蔡煌瑯,何敏豪,吳成典,黃志雄,陳秀惠,林為洲,徐少萍,邱永仁,羅明才,李鎮楠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員唐碧娥、林耘生、盧秀燕、鄭朝明等 36人,針對現 行法規規定已領取社會保險老年給付者,不得領取老農津貼 ,造成這類農漁民晚年生活無依,有達老農津貼設置美意。 經查這些人員係一次領取為數不高的老年給付,若因此喪失 每月請領老農津貼的資格,既不公平也不合理。因此本席特 擬具「老年農民福利津貼暫行條例第四條修正案」,刪除該 項規定,使這類老年農漁民亦能受到照顧,保障其晚年生活 ,且兼顧社會公平正義。是否有當?敬請公決。"
120,1,老年農民福利津貼暫行條例第四條條文修正草案,2005/3/25,2005/5/13,交付審查,0,0,0,0,李全教,盧秀燕,李顯榮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,張麗善,林建榮,黃昭順,邱鏡淳,楊瓊瓔,鍾紹和,蔡錦隆,翁重鈞,劉盛良,曾永權,侯彩鳳,羅明才,邱毅,伍錦霖,林益世,周守訓,吳光訓,謝國樑,劉銓忠,黃健庭,林炳坤,顏清標,柯俊雄,蔡家福,紀國棟,羅世雄,吳敦義,吳清池,劉政鴻,卓伯源,趙良燕,吳成典,林正二,何智輝,黃志雄,林春德,帥化民,鄭金玲,徐耀昌,孫大千,蔡勝佳,柯淑敏,呂學樟,陳志彬,楊仁福,李嘉進,,,,,,,,,,,,,,,,,,"本院委員李全教、盧秀燕、李顯榮等 49人,為現行農家平均 年收入偏低,且某些特定政黨認為榮民就養金之發放僅照顧 特定族群,致每逢選舉往往成為分裂族群的議題與藉口。因 此為平衡省籍照顧、增進族群融合、落實農漁民福利保障, 並作為國民年金通過前之過渡措施,本席等人特擬具「老年 農民福利津貼暫行條例第四條修正草案」,將現行老農津貼 提升為一萬元,以符合公平正義平等之原則;另外,針對受 領時不知自己未符合請領資格而領取老農津貼者,若其所受 之利益已不存在者,免負返還或償還價額之責任,以保障老 人權益。以上所提,是否有當,請公決案。"
131,1,加值型及非加值型營業稅法第八條條文修正草案,2005/3/25,2007/12/21,三讀,1,1,1,0,沈智慧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,林進興,陳志彬,呂學樟,彭紹瑾,賴幸媛,何智輝,黃義交,李復興,吳敦義,王昱婷,林春德,陳杰,孫大千,徐耀昌,陳根德,楊仁福,李嘉進,黃志雄,顧崇廉,鍾紹和,楊瓊瓔,伍錦霖,蘇起,趙良燕,翁重鈞,林建榮,吳成典,劉盛良,蔡豪,楊宗哲,陳銀河,何敏豪,蔡正元,郭素春,盧秀燕,羅志明,陳秀卿,帥化民,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員沈智慧等 39人,針對農民自產自銷且因運送及食用 之必要而加工之農產品,如茶葉、梅乾、香菇、筍乾、菜脯 等,因於加值型及非加值型營業稅法及營業稅法施行細則中 規定仍屬加工後之農產物,而需課徵營業稅,對於我國加入 世貿組織後飽受衝擊之農民更是雪上加霜;為保障農民生計 ,爱提案修正加值型及非加值型營業稅法第八條條文,是否 有當,請公決。"
170,1,農民健康保險條例部分條文修正草案,2005/4/1,2005/5/13,交付審查,0,0,0,0,劉政鴻,鄭金玲,沈智慧,邱鏡淳,盧秀燕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,陳志彬,賴幸媛,黃義交,趙良燕,陳憲中,吳清池,林炳坤,彭紹瑾,徐耀昌,林春德,陳杰,鍾紹和,黃偉哲,蔡勝佳,林建榮,王塗發,陳根德,林正二,楊瓊瓔,卓伯源,陳秀卿,黃昭順,黃志雄,蔡錦隆,吳光訓,羅志明,羅世雄,林滄敏,黃敏惠,楊仁福,張昌財,吳志揚,顧崇廉,黃健庭,吳成典,章仁香,江丙坤,劉銓忠,李嘉進,蔡正元,林益世,呂學樟,孔文吉,洪秀柱,蔡豪,,,,,,,,,,,,,,,,,,,"本院委員劉政鴻、鄭金玲、沈智慧、邱鏡淳、盧秀燕、等 50 人,鑑於台灣加入世界貿易組織之後,農產品價格偏低,農 民收支失衡。依據農委會統計資料顯示,農民的平均個人所 得僅及非農家個人所得之百分之六十八,且每戶農家每年農 業所得僅十七萬六千三百九十八元。農家經濟狀況日益惡化 ,且農業人口老化之情況日益嚴重,為保障農民之權益,宜 先未雨綢缪建立老農退休金制度,一則可保障農民退休後之 生活,再者可落實「農業發展條例」第五十九條之規定,鼓 勵老農提前退休。爱擬具「農民健康保險條例」修正草案, 比照「勞工保險條例」精神,以老農保險給付方式給付老農 退休金,是否有當?敬請公決。"
221,1,農民健康保險條例第三十六條條文修正草案,2005/4/15,2007/12/21,二讀,0,1,1,0,鍾紹和,鄭金玲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黃昭順,孫大千,吳敦義,陳志彬,林德福,林建榮,吳成典,廖國棟,李嘉進,林郁方,林滄敏,徐耀昌,林春德,陳根德,何智輝,卓伯源,吳清池,蘇起,徐少萍,楊仁福,蔡正元,林益世,呂學樟,羅明才,蔡錦隆,黃健庭,劉盛良,林正二,劉政鴻,李復興,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員鍾紹和、鄭金玲等 32人,有鑑於現行農民健康保險 條例第三十六條條文依內政部解釋,第一項及第二項對於一 次請領殘廢補助費之要件已有明定,施行細則第六十二條: 「本條例第三十六條第一項所稱治療終止,係指被保險人罹 患之傷病,經治療後,症狀固定,再行治療仍不能期待其治 療效果之狀態而言」,亦僅係對本條例第三十六條第一項之 「治療終止」作解釋,不得擴張適用於本條例第三十六條第 二項。是以,屬於畸形、醜形、運動或機能障害者,應適用 本條例第三十六條第二項規定,即需符合經治療一年以上尚 未痊癒,並經診斷為永不能復原者之規定,始得一次請領殘 廢補助費。然內政部此解釋只為一行政命令,不應凌駕於法 律規定之上,且像腦中風與惡性腫瘤如依此解釋判定是否給 付,實不合理。特擬具「農民健康保險條例第三十六條」條 文修正草案,是否有當,敬請公決?"
235,1,中國農民銀行條例草案,2005/4/15,2005/12/6,三讀,1,1,1,0,蔡正元,洪玉欽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,張慶忠,黃昭順,黃宗源,趙良燕,何智輝,彭添富,帥化民,邱鏡淳,羅世雄,翁重鈞,吳敦義,徐耀昌,吳成典,顧崇廉,伍錦霖,羅志明,廖婉汝,鄭金玲,曹壽民,藍美津,孫大千,蔡豪,郭正亮,蔡英文,林正二,林建榮,陳秀卿,林滄敏,王昱婷,李嘉進,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"本院委員蔡正元、洪玉欽等 33人,提案廢止「中國農民銀行 條例」,是否有當?請公決。"
